Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0293855
617.773	0.0293855
617.908	0.0296405
618.043	0.0290031
618.178	0.0293218
618.313	0.0284294
618.448	0.0295767
618.583	0.0283656
618.718	0.0298955
618.853	0.0293218
618.988	0.0291305
619.123	0.0293218
619.258	0.0280469
619.394	0.0290031
619.529	0.0288118
619.664	0.0284931
619.799	0.0286843
619.934	0.0286843
620.069	0.0283656
620.204	0.029258
620.339	0.0284931
620.474	0.0284931
620.609	0.0286206
620.744	0.0287481
620.879	0.0291305
621.014	0.0286206
621.149	0.0288756
621.284	0.0284294
621.419	0.0295767
621.554	0.0285569
621.689	0.0286206
621.825	0.0293218
621.96	0.0290031
622.095	0.029258
622.23	0.0291305
622.365	0.0283656
622.5	0.0286206
622.635	0.0291943
622.77	0.0284931
622.905	0.0290031
623.04	0.0288118
623.175	0.0287481
623.31	0.0287481
623.445	0.0293855
623.58	0.0290031
623.715	0.0286206
623.85	0.029513
623.985	0.0289393
624.12	0.0290668
624.255	0.029258
624.39	0.0295767
624.525	0.0281107
624.661	0.0288756
624.796	0.0291943
624.931	0.0293855
625.066	0.0288118
625.201	0.0288118
625.336	0.0277919
625.471	0.0293855
625.606	0.0290031
625.741	0.0290668
625.876	0.0286843
626.011	0.0291943
626.146	0.0287481
626.281	0.0298955
626.416	0.0286206
626.551	0.0295767
626.686	0.0289393
626.821	0.0289393
626.956	0.0286843
627.091	0.0290031
627.226	0.0283656
627.361	0.0279194
627.496	0.029258
627.631	0.0281744
627.766	0.0287481
627.901	0.0281107
628.036	0.027537
628.171	0.0293855
628.307	0.0279832
628.442	0.0288756
628.577	0.0284931
628.712	0.0284294
628.847	0.0293218
628.982	0.0297042
629.117	0.0290031
629.252	0.0290031
629.387	0.0298317
629.522	0.0289393
629.657	0.0304691
629.792	0.029258
629.927	0.0293218
630.062	0.0286206
630.197	0.0288118
630.332	0.0293218
