Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0274065
617.773	0.0283831
617.908	0.0280168
618.043	0.0277117
618.178	0.0280168
618.313	0.0282
618.448	0.0271623
618.583	0.0278337
618.718	0.0286883
618.853	0.0278948
618.988	0.0271623
619.123	0.0274675
619.258	0.0281389
619.394	0.0277117
619.529	0.028261
619.664	0.0277117
619.799	0.0277727
619.934	0.0286272
620.069	0.0278948
620.204	0.0275285
620.339	0.0275896
620.474	0.0275285
620.609	0.0285052
620.744	0.0276506
620.879	0.0283831
621.014	0.0281389
621.149	0.0275285
621.284	0.0279558
621.419	0.0277117
621.554	0.0278337
621.689	0.0275896
621.825	0.0271013
621.96	0.0280168
622.095	0.0278948
622.23	0.0277117
622.365	0.0281389
622.5	0.0284441
622.635	0.0272233
622.77	0.0275896
622.905	0.0274065
623.04	0.0277117
623.175	0.0283831
623.31	0.0284441
623.445	0.0287493
623.58	0.0271623
623.715	0.0283831
623.85	0.0288104
623.985	0.0274065
624.12	0.0280779
624.255	0.0279558
624.39	0.0276506
624.525	0.0280168
624.661	0.0280168
624.796	0.0280168
624.931	0.0277117
625.066	0.0280779
625.201	0.026674
625.336	0.0274065
625.471	0.0271623
625.606	0.0271013
625.741	0.0285662
625.876	0.0278948
626.011	0.0275285
626.146	0.0277727
626.281	0.0271623
626.416	0.0271623
626.551	0.0277727
626.686	0.028261
626.821	0.0270402
626.956	0.0274675
627.091	0.0278337
627.226	0.0277117
627.361	0.0284441
627.496	0.0280779
627.631	0.0282
627.766	0.0277117
627.901	0.0277117
628.036	0.0273454
628.171	0.0269181
628.307	0.0272233
628.442	0.0280168
628.577	0.0284441
628.712	0.0274065
628.847	0.0276506
628.982	0.0278948
629.117	0.0277727
629.252	0.0277117
629.387	0.028261
629.522	0.0278337
629.657	0.0272844
629.792	0.0279558
629.927	0.0275285
630.062	0.0282
630.197	0.0272844
630.332	0.0271013
630.467	0.026613
630.602	0.0285052
630.737	0.0286272
630.872	0.0278337
631.007	0.0275285
631.142	0.0278948
631.277	0.0274675
631.412	0.0279558
631.547	0.0267961
631.682	0.0269181
631.817	0.0272233
631.952	0.0277117
632.087	0.0276506
632.222	0.0282
632.357	0.0280779
632.492	0.0281389
632.627	0.0273454
632.762	0.0279558
632.897	0.0279558
633.032	0.0283831
633.167	0.0280779
633.302	0.0274675
633.437	0.0274675
633.572	0.0277727
633.707	0.0280168
633.842	0.0279558
633.978	0.0272844
634.113	0.028322
634.248	0.0272233
634.383	0.0275285
634.518	0.0267961
634.653	0.0271013
634.788	0.0268571
634.923	0.0278337
635.058	0.0274065
635.193	0.0282
635.328	0.0274065
635.463	0.0278948
635.598	0.0274675
635.733	0.0275896
635.868	0.0279558
636.003	0.0276506
636.138	0.0278337
636.273	0.0274675
636.408	0.0276506
636.543	0.0283831
636.678	0.0274675
636.813	0.0278948
636.948	0.026735
637.083	0.0277117
637.218	0.0281389
637.353	0.0273454
637.488	0.0273454
637.623	0.0275285
637.758	0.0279558
637.893	0.0278948
638.028	0.0275285
638.163	0.0277117
638.298	0.0275285
638.433	0.0273454
638.568	0.0271013
638.703	0.0274675
638.838	0.0272844
638.973	0.0280168
639.108	0.0280779
639.243	0.0283831
639.378	0.0283831
639.513	0.0279558
639.648	0.0281389
639.783	0.0278337
639.918	0.0271623
640.053	0.0271013
640.188	0.0279558
640.323	0.0276506
640.458	0.0275896
640.593	0.0286272
640.728	0.0279558
640.863	0.0280779
640.998	0.0265519
641.133	0.0278337
641.268	0.0267961
641.403	0.0276506
641.538	0.0279558
641.673	0.0277117
641.808	0.0278337
641.943	0.0276506
642.078	0.0280779
642.213	0.0275285
642.348	0.0278948
642.483	0.0273454
642.618	0.0276506
642.753	0.0281389
642.888	0.0272233
643.023	0.0274675
643.158	0.0274065
643.293	0.0278948
643.428	0.0276506
643.563	0.0274065
643.698	0.0276506
643.833	0.0278337
643.968	0.028322
644.103	0.0285052
644.237	0.0279558
644.372	0.0285662
644.507	0.0272233
644.642	0.0272844
644.777	0.0273454
644.912	0.0274675
645.047	0.0276506
645.182	0.028322
645.317	0.0269792
645.452	0.026735
645.587	0.0275285
645.722	0.0284441
645.857	0.0279558
645.992	0.0265519
646.127	0.0280168
646.262	0.028322
646.397	0.0279558
646.532	0.0275896
646.667	0.0286272
646.802	0.0288104
646.937	0.0272844
647.072	0.0275285
647.207	0.0271013
647.342	0.028322
647.477	0.0277727
647.612	0.0288104
647.747	0.0271623
647.882	0.0291766
648.017	0.0271013
648.152	0.0277727
648.287	0.0276506
648.422	0.0267961
648.557	0.0274065
648.692	0.0281389
648.827	0.0285052
648.962	0.0285662
649.097	0.0269792
649.232	0.0285662
649.367	0.0282
649.502	0.0278337
649.637	0.0272844
649.772	0.0285662
649.906	0.0275285
650.041	0.0274065
650.176	0.0274065
650.311	0.0283831
650.446	0.0286272
650.581	0.0274065
650.716	0.0280779
650.851	0.0272233
650.986	0.0277727
651.121	0.0279558
651.256	0.0277117
651.391	0.0284441
651.526	0.0278948
651.661	0.0280779
651.796	0.0274675
651.931	0.0280168
652.066	0.0278337
652.201	0.028261
652.336	0.0279558
652.471	0.0268571
652.606	0.0280168
652.741	0.0272233
652.876	0.0271013
653.011	0.0284441
653.146	0.0276506
653.281	0.0274675
653.415	0.0275285
653.55	0.0278948
653.685	0.0274675
