Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.131947
617.773	0.136999
617.908	0.133432
618.043	0.134324
618.178	0.136999
618.313	0.134324
618.448	0.136107
618.583	0.133432
618.718	0.13581
618.853	0.132838
618.988	0.133135
619.123	0.136404
619.258	0.13789
619.394	0.136701
619.529	0.138782
619.664	0.134918
619.799	0.13581
619.934	0.138187
620.069	0.134621
620.204	0.138484
620.339	0.136701
620.474	0.134324
620.609	0.135215
620.744	0.136107
620.879	0.136107
621.014	0.135513
621.149	0.13581
621.284	0.135513
621.419	0.133432
621.554	0.132244
621.689	0.136404
621.825	0.130163
621.96	0.134621
622.095	0.134918
622.23	0.134621
622.365	0.133432
622.5	0.134621
622.635	0.136107
622.77	0.132244
622.905	0.134621
623.04	0.134918
623.175	0.135513
623.31	0.132541
623.445	0.136701
623.58	0.135513
623.715	0.133432
623.85	0.13789
623.985	0.134027
624.12	0.132244
624.255	0.131649
624.39	0.137593
624.525	0.135215
624.661	0.136404
624.796	0.134027
624.931	0.130461
625.066	0.137593
625.201	0.139079
625.336	0.131947
625.471	0.135215
625.606	0.133432
625.741	0.141456
625.876	0.135215
626.011	0.137296
626.146	0.138187
626.281	0.13373
626.416	0.137296
626.551	0.135215
626.686	0.132541
626.821	0.138187
626.956	0.137296
627.091	0.138187
627.226	0.134621
627.361	0.136999
627.496	0.134918
627.631	0.135215
627.766	0.137593
627.901	0.132541
628.036	0.133432
628.171	0.13581
628.307	0.137296
628.442	0.133135
628.577	0.134027
628.712	0.136701
628.847	0.132244
628.982	0.134918
629.117	0.131055
629.252	0.13581
629.387	0.134027
629.522	0.136107
629.657	0.133432
629.792	0.134621
629.927	0.136999
630.062	0.134918
630.197	0.138484
630.332	0.136107
630.467	0.136404
630.602	0.138187
630.737	0.133432
630.872	0.132244
631.007	0.130758
631.142	0.136404
631.277	0.13581
631.412	0.134027
631.547	0.132541
631.682	0.135215
631.817	0.13373
631.952	0.132244
632.087	0.13581
632.222	0.133135
632.357	0.131947
632.492	0.135215
632.627	0.137296
632.762	0.132838
632.897	0.136404
633.032	0.133135
633.167	0.134621
633.302	0.134324
633.437	0.134027
633.572	0.131649
633.707	0.135513
633.842	0.132541
633.978	0.131649
634.113	0.134324
634.248	0.135513
634.383	0.135513
634.518	0.133432
634.653	0.132244
634.788	0.139673
634.923	0.136107
635.058	0.136107
635.193	0.134324
635.328	0.136107
635.463	0.136701
635.598	0.134621
635.733	0.136404
635.868	0.137296
636.003	0.135215
636.138	0.136404
636.273	0.136701
636.408	0.136701
636.543	0.133135
636.678	0.134918
636.813	0.133432
636.948	0.135513
637.083	0.131352
637.218	0.134918
637.353	0.135215
637.488	0.136404
637.623	0.135513
637.758	0.132541
637.893	0.134324
638.028	0.132838
638.163	0.136999
638.298	0.133432
638.433	0.133432
638.568	0.137296
638.703	0.133135
638.838	0.131649
638.973	0.135513
639.108	0.138484
639.243	0.136107
639.378	0.132838
639.513	0.135215
639.648	0.132541
639.783	0.131649
639.918	0.139376
640.053	0.130758
640.188	0.133432
640.323	0.139376
640.458	0.131649
640.593	0.134621
640.728	0.135513
640.863	0.13581
640.998	0.133432
641.133	0.132541
641.268	0.13581
641.403	0.134918
641.538	0.134918
641.673	0.135513
641.808	0.135513
641.943	0.133135
642.078	0.133432
642.213	0.13581
642.348	0.12838
642.483	0.132541
642.618	0.139079
642.753	0.133432
642.888	0.134918
643.023	0.133135
643.158	0.133432
643.293	0.138782
643.428	0.136999
643.563	0.134324
643.698	0.134918
643.833	0.132838
643.968	0.133135
644.103	0.140267
644.237	0.134324
644.372	0.13373
644.507	0.134027
644.642	0.141159
644.777	0.137296
644.912	0.133135
645.047	0.136404
645.182	0.134324
645.317	0.138782
645.452	0.131649
645.587	0.136107
645.722	0.132244
645.857	0.134918
645.992	0.136107
646.127	0.133432
646.262	0.13789
646.397	0.131649
646.532	0.13581
646.667	0.137593
646.802	0.132244
646.937	0.13581
647.072	0.137296
647.207	0.134027
647.342	0.138187
647.477	0.136107
647.612	0.134918
647.747	0.138484
647.882	0.134621
648.017	0.13789
648.152	0.138484
648.287	0.135513
648.422	0.134027
648.557	0.136404
648.692	0.134918
648.827	0.138484
648.962	0.134621
649.097	0.129569
649.232	0.133432
649.367	0.134027
649.502	0.135215
649.637	0.134918
649.772	0.135215
649.906	0.134621
650.041	0.134027
650.176	0.136404
650.311	0.134027
650.446	0.131352
650.581	0.132838
650.716	0.137593
650.851	0.140862
650.986	0.134621
651.121	0.137296
651.256	0.136404
651.391	0.132838
651.526	0.132244
651.661	0.134027
651.796	0.134918
651.931	0.138187
652.066	0.136999
652.201	0.133135
652.336	0.133135
652.471	0.132838
652.606	0.136999
652.741	0.136404
652.876	0.132244
653.011	0.135215
653.146	0.134324
653.281	0.132244
653.415	0.132244
653.55	0.132541
653.685	0.130461
653.82	0.136701
653.955	0.131055
654.09	0.134918
654.225	0.138782
654.36	0.136701
654.495	0.132838
654.63	0.13789
654.765	0.131649
654.9	0.130758
655.035	0.13581
655.17	0.131649
655.305	0.138484
655.44	0.13373
655.575	0.136107
655.71	0.131055
655.845	0.135215
655.98	0.136999
656.115	0.13581
656.25	0.138782
656.384	0.134918
656.519	0.136701
656.654	0.133432
656.789	0.136107
656.924	0.138782
657.059	0.134324
657.194	0.134027
657.329	0.135215
657.464	0.136107
657.599	0.129866
657.734	0.131947
657.869	0.13373
658.004	0.128975
658.139	0.132838
658.274	0.138782
658.409	0.136107
658.544	0.135513
658.679	0.13581
658.813	0.13373
658.948	0.134027
659.083	0.135215
659.218	0.134324
659.353	0.136404
659.488	0.132244
659.623	0.136404
659.758	0.13581
659.893	0.134621
660.028	0.134324
660.163	0.133432
660.298	0.135215
660.433	0.135513
660.568	0.136999
660.703	0.13373
660.838	0.137296
660.972	0.134027
661.107	0.134324
661.242	0.135215
661.377	0.134918
661.512	0.135215
661.647	0.135215
661.782	0.137296
661.917	0.136701
662.052	0.134027
662.187	0.138187
662.322	0.132541
662.457	0.138187
662.592	0.136107
662.727	0.136107
