Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0299968
617.773	0.0279501
617.908	0.0290374
618.043	0.0298049
618.178	0.0293572
618.313	0.0283978
618.448	0.0291653
618.583	0.0283978
618.718	0.0292933
618.853	0.0285257
618.988	0.0294212
619.123	0.0280141
619.258	0.0295491
619.394	0.0298689
619.529	0.0292293
619.664	0.029613
619.799	0.0287816
619.934	0.0293572
620.069	0.0289735
620.204	0.0292933
620.339	0.0288455
620.474	0.0285897
620.609	0.0292933
620.744	0.0289735
620.879	0.0299328
621.014	0.0294212
621.149	0.0287816
621.284	0.0290374
621.419	0.0284618
621.554	0.0291653
621.689	0.0289095
621.825	0.0286537
621.96	0.0288455
622.095	0.0288455
622.23	0.0295491
622.365	0.0289095
622.5	0.0276303
622.635	0.0292933
622.77	0.0288455
622.905	0.029613
623.04	0.0295491
623.175	0.0291653
623.31	0.0287816
623.445	0.0294851
623.58	0.0293572
623.715	0.029677
623.85	0.0287816
623.985	0.0283339
624.12	0.0292933
624.255	0.0301887
624.39	0.0298689
624.525	0.0282699
624.661	0.0291014
624.796	0.0292293
624.931	0.0287816
625.066	0.0294212
625.201	0.029613
625.336	0.0294212
625.471	0.0298049
625.606	0.029613
625.741	0.0289735
625.876	0.0295491
626.011	0.0283339
626.146	0.0287816
626.281	0.0285257
626.416	0.0295491
626.551	0.0291014
626.686	0.0289735
626.821	0.0294212
626.956	0.0291653
627.091	0.0291653
627.226	0.0271186
627.361	0.0289735
627.496	0.0291653
627.631	0.0292293
627.766	0.0294212
627.901	0.0283978
628.036	0.0276943
628.171	0.0290374
628.307	0.0299968
628.442	0.0291653
628.577	0.0290374
628.712	0.0289735
628.847	0.0292933
628.982	0.0291014
629.117	0.0292933
629.252	0.0294212
629.387	0.0289095
629.522	0.0300608
629.657	0.0295491
629.792	0.0287176
629.927	0.029613
630.062	0.0286537
630.197	0.0285897
630.332	0.0287816
630.467	0.0282699
630.602	0.0291653
630.737	0.0291653
630.872	0.0290374
631.007	0.0298049
631.142	0.0282699
631.277	0.0289095
631.412	0.0289095
631.547	0.0287816
631.682	0.0287176
631.817	0.029741
631.952	0.0295491
632.087	0.0288455
632.222	0.0295491
632.357	0.0283339
632.492	0.0292933
632.627	0.0289095
632.762	0.0292933
632.897	0.0287176
633.032	0.0298049
633.167	0.0292933
633.302	0.0292293
633.437	0.0283978
633.572	0.0291014
633.707	0.0284618
633.842	0.0289735
633.978	0.0283339
634.113	0.029677
634.248	0.0285897
634.383	0.0289735
634.518	0.029613
634.653	0.0289735
634.788	0.0294851
