Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0275723
617.773	0.026105
617.908	0.0276946
618.043	0.0276946
618.178	0.0278168
618.313	0.0276946
618.448	0.0273277
618.583	0.0268387
618.718	0.0278168
618.853	0.0276334
618.988	0.0273277
619.123	0.0272055
619.258	0.0264718
619.394	0.0268387
619.529	0.0272666
619.664	0.0268387
619.799	0.0277557
619.934	0.0277557
620.069	0.0276946
620.204	0.0272055
620.339	0.0270221
620.474	0.0275723
620.609	0.0276334
620.744	0.0275112
620.879	0.0275112
621.014	0.0280002
621.149	0.0272666
621.284	0.0276334
621.419	0.0269609
621.554	0.027878
621.689	0.0273889
621.825	0.0273277
621.96	0.0276334
622.095	0.0269609
622.23	0.0273889
622.365	0.0275723
622.5	0.0277557
622.635	0.0270832
622.77	0.0276334
622.905	0.0272055
623.04	0.0287339
623.175	0.0279391
623.31	0.02745
623.445	0.0272666
623.58	0.0276946
623.715	0.0273277
623.85	0.0273889
623.985	0.0279391
624.12	0.0280002
624.255	0.02745
624.39	0.0267164
624.525	0.0275723
624.661	0.0273889
624.796	0.0275112
624.931	0.0270221
625.066	0.0276334
625.201	0.0275112
625.336	0.0273277
625.471	0.027878
625.606	0.0272055
625.741	0.0272666
625.876	0.0269609
626.011	0.0270221
626.146	0.0269609
626.281	0.0273889
626.416	0.0273277
626.551	0.0273277
626.686	0.0273277
626.821	0.0273889
626.956	0.0280614
627.091	0.0284893
627.226	0.0276334
627.361	0.0268998
627.496	0.0268998
627.631	0.0270221
627.766	0.0275723
627.901	0.0266553
628.036	0.0275723
628.171	0.0279391
628.307	0.0273889
628.442	0.0276334
628.577	0.0270832
628.712	0.0280002
628.847	0.0275723
628.982	0.0271443
629.117	0.02745
629.252	0.0278168
629.387	0.0275723
629.522	0.0272666
629.657	0.0273277
629.792	0.0267164
629.927	0.0276946
630.062	0.0278168
630.197	0.0270221
630.332	0.0276334
630.467	0.0273889
630.602	0.0278168
630.737	0.0278168
630.872	0.0276334
631.007	0.0278168
631.142	0.0272666
631.277	0.0270832
631.412	0.0272666
631.547	0.0282448
631.682	0.0282448
631.817	0.0280614
631.952	0.0276334
632.087	0.0272055
632.222	0.0276334
632.357	0.0275723
632.492	0.0275723
632.627	0.0267775
632.762	0.0279391
632.897	0.0268998
633.032	0.0281837
633.167	0.0270221
633.302	0.0279391
633.437	0.0276946
633.572	0.02745
633.707	0.0276946
633.842	0.0271443
633.978	0.0275112
634.113	0.0273277
634.248	0.0272666
634.383	0.02745
634.518	0.0273889
634.653	0.0275112
634.788	0.0280614
634.923	0.0275112
635.058	0.0265941
635.193	0.0275723
635.328	0.0275723
635.463	0.0281225
635.598	0.0278168
635.733	0.0266553
635.868	0.0264107
636.003	0.0281225
636.138	0.0273277
