Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0287938
617.773	0.027275
617.908	0.0287305
618.043	0.0286673
618.178	0.0279711
618.313	0.0279711
618.448	0.0289837
618.583	0.0284141
618.718	0.0277813
618.853	0.0282876
618.988	0.0280344
619.123	0.0284141
619.258	0.0289204
619.394	0.0283508
619.529	0.0288571
619.664	0.0284141
619.799	0.028161
619.934	0.0280344
620.069	0.0275914
620.204	0.0280977
620.339	0.0280977
620.474	0.0282243
620.609	0.0280344
620.744	0.0287938
620.879	0.0292368
621.014	0.0287938
621.149	0.0282876
621.284	0.0282876
621.419	0.0282876
621.554	0.0275914
621.689	0.0289204
621.825	0.0274649
621.96	0.0277813
622.095	0.0278446
622.23	0.0279711
622.365	0.0285407
622.5	0.0274649
622.635	0.0284774
622.77	0.0276547
622.905	0.0287305
623.04	0.0294267
623.175	0.028161
623.31	0.027718
623.445	0.029047
623.58	0.0276547
623.715	0.0287305
623.85	0.0287305
623.985	0.0282243
624.12	0.0286673
624.255	0.0289837
624.39	0.0277813
624.525	0.0283508
624.661	0.0275914
624.796	0.0284141
624.931	0.0285407
625.066	0.0284774
625.201	0.0277813
625.336	0.0284141
625.471	0.0288571
625.606	0.0280977
625.741	0.0289837
625.876	0.0282243
626.011	0.0287938
626.146	0.0282243
626.281	0.029047
626.416	0.0279711
626.551	0.0279079
626.686	0.0288571
626.821	0.0284141
626.956	0.0282243
627.091	0.0280344
627.226	0.0287938
627.361	0.0289204
627.496	0.027718
627.631	0.028604
627.766	0.0282243
627.901	0.0285407
628.036	0.0280344
628.171	0.0287938
628.307	0.0282243
628.442	0.028161
628.577	0.028161
628.712	0.0282243
628.847	0.0287305
628.982	0.0280344
629.117	0.0280977
629.252	0.0289204
629.387	0.028604
629.522	0.0277813
629.657	0.0280344
629.792	0.0287938
629.927	0.0284141
630.062	0.0277813
630.197	0.0283508
630.332	0.029047
630.467	0.0288571
630.602	0.0276547
630.737	0.0278446
630.872	0.0284141
631.007	0.0291102
631.142	0.0289204
631.277	0.0283508
631.412	0.0294899
631.547	0.0287305
631.682	0.0280977
631.817	0.0280344
631.952	0.0285407
632.087	0.0276547
632.222	0.0275914
632.357	0.0280344
632.492	0.0282243
632.627	0.0288571
632.762	0.0288571
632.897	0.0282243
633.032	0.0273383
633.167	0.0287305
633.302	0.0283508
633.437	0.0284141
633.572	0.028161
633.707	0.0296798
633.842	0.0278446
633.978	0.0285407
634.113	0.0282876
634.248	0.0284774
634.383	0.028161
634.518	0.0282876
634.653	0.0286673
634.788	0.0282876
634.923	0.028604
635.058	0.027718
635.193	0.0279711
635.328	0.0280344
635.463	0.0287938
635.598	0.0280344
635.733	0.028604
635.868	0.0289837
636.003	0.0288571
636.138	0.0284141
636.273	0.0275914
636.408	0.0284141
636.543	0.0282243
636.678	0.0283508
636.813	0.0273383
636.948	0.0278446
637.083	0.0284774
637.218	0.0269586
637.353	0.0280977
637.488	0.0282243
637.623	0.0278446
637.758	0.0285407
637.893	0.0280344
638.028	0.0276547
638.163	0.0279711
638.298	0.0287938
638.433	0.0287305
638.568	0.0275282
638.703	0.028161
638.838	0.0282876
638.973	0.0282876
639.108	0.0287938
639.243	0.0284141
639.378	0.0274649
639.513	0.0278446
639.648	0.028604
639.783	0.028161
639.918	0.0282876
640.053	0.0275282
640.188	0.027718
640.323	0.0277813
640.458	0.0275282
640.593	0.0287305
640.728	0.0279079
640.863	0.0274016
640.998	0.0282876
641.133	0.0288571
641.268	0.0275282
641.403	0.0288571
641.538	0.029047
641.673	0.0294899
641.808	0.0287305
641.943	0.028604
642.078	0.0276547
642.213	0.0282876
642.348	0.0274016
642.483	0.0282243
642.618	0.0283508
642.753	0.0282243
642.888	0.0279079
643.023	0.0282243
643.158	0.0280977
643.293	0.0282243
643.428	0.0283508
643.563	0.0289204
643.698	0.0278446
643.833	0.0293001
643.968	0.0285407
644.103	0.0284141
644.237	0.027718
644.372	0.0284774
644.507	0.0276547
644.642	0.0283508
644.777	0.0283508
644.912	0.0275282
645.047	0.0277813
645.182	0.0282243
645.317	0.0282876
645.452	0.028604
645.587	0.0271485
645.722	0.0287938
645.857	0.0277813
645.992	0.0279711
646.127	0.0284774
646.262	0.0282243
646.397	0.0282876
646.532	0.0283508
646.667	0.0284141
646.802	0.0280977
646.937	0.0283508
647.072	0.0287938
647.207	0.0282243
647.342	0.0280344
647.477	0.0280977
647.612	0.0275282
647.747	0.0286673
647.882	0.0283508
648.017	0.0282243
648.152	0.0280344
648.287	0.0280977
648.422	0.0274649
648.557	0.0283508
648.692	0.0274016
648.827	0.0282243
648.962	0.028604
649.097	0.027718
649.232	0.0285407
649.367	0.0280977
649.502	0.0286673
649.637	0.0278446
649.772	0.028604
649.906	0.0276547
650.041	0.0280977
650.176	0.0282243
650.311	0.0282243
650.446	0.0276547
650.581	0.028604
650.716	0.0280977
650.851	0.028604
650.986	0.0287305
651.121	0.0280344
651.256	0.0272117
651.391	0.0286673
651.526	0.0280977
651.661	0.029047
651.796	0.0280344
651.931	0.0282876
652.066	0.0286673
652.201	0.0280344
652.336	0.0287305
652.471	0.0279711
652.606	0.0277813
652.741	0.0279079
652.876	0.027718
653.011	0.0278446
653.146	0.0280977
653.281	0.028604
653.415	0.0282876
653.55	0.0279079
653.685	0.0287305
653.82	0.0287938
653.955	0.0279079
654.09	0.0285407
654.225	0.0280977
654.36	0.0282876
654.495	0.0280344
654.63	0.0279079
654.765	0.0284141
654.9	0.0285407
655.035	0.0277813
655.17	0.0282243
655.305	0.028604
655.44	0.0282243
655.575	0.0278446
655.71	0.0283508
655.845	0.0291735
655.98	0.0277813
656.115	0.0275914
656.25	0.028161
656.384	0.0279079
656.519	0.0284774
656.654	0.0284141
656.789	0.0285407
656.924	0.0284141
657.059	0.0282243
657.194	0.0276547
657.329	0.0278446
657.464	0.0278446
657.599	0.0282876
657.734	0.0279711
657.869	0.0293001
658.004	0.0278446
658.139	0.0282876
658.274	0.0282243
658.409	0.0292368
658.544	0.0279711
658.679	0.0275914
658.813	0.0278446
658.948	0.0280977
659.083	0.027718
659.218	0.0287938
659.353	0.0278446
659.488	0.0287305
659.623	0.0277813
659.758	0.0285407
659.893	0.0287938
660.028	0.027718
660.163	0.028604
660.298	0.0288571
660.433	0.0283508
660.568	0.0276547
660.703	0.0284774
660.838	0.0282876
660.972	0.0284774
661.107	0.0287305
661.242	0.0287305
661.377	0.0284774
661.512	0.027718
661.647	0.0274649
661.782	0.0283508
661.917	0.0284141
662.052	0.028604
662.187	0.0286673
662.322	0.0277813
662.457	0.0275282
662.592	0.0280344
662.727	0.0284141
662.862	0.027718
662.996	0.0284141
663.131	0.0277813
663.266	0.0280344
663.401	0.0293634
663.536	0.028161
663.671	0.0277813
663.806	0.0277813
663.941	0.0282243
664.076	0.0283508
664.211	0.0287938
664.346	0.0285407
664.481	0.0282243
664.616	0.0279079
664.75	0.028161
664.885	0.0287305
665.02	0.027718
665.155	0.0274649
665.29	0.0289204
665.425	0.0285407
665.56	0.0276547
665.695	0.0274016
665.83	0.0284774
665.965	0.0280977
666.1	0.0279711
666.235	0.028161
666.37	0.028604
666.504	0.0282243
666.639	0.028604
666.774	0.0292368
666.909	0.0279711
667.044	0.0274649
667.179	0.0275914
667.314	0.0279711
667.449	0.0282876
667.584	0.0287938
667.719	0.0282876
667.854	0.0292368
667.989	0.028604
668.123	0.0284774
668.258	0.027718
668.393	0.028604
668.528	0.027718
668.663	0.0285407
668.798	0.0283508
668.933	0.0284774
669.068	0.0292368
669.203	0.0283508
669.338	0.0278446
669.473	0.0280977
669.607	0.0274016
669.742	0.0289204
669.877	0.028604
670.012	0.0289837
670.147	0.0285407
670.282	0.0279079
670.417	0.0291102
670.552	0.0287305
670.687	0.027718
670.822	0.0282243
670.957	0.0289204
671.091	0.0282243
671.226	0.0278446
671.361	0.028161
671.496	0.0284774
671.631	0.0282876
671.766	0.027718
671.901	0.0284774
672.036	0.0278446
672.171	0.0277813
672.306	0.0285407
672.44	0.0274649
672.575	0.0283508
672.71	0.0283508
672.845	0.028161
672.98	0.0279079
673.115	0.0283508
673.25	0.0275914
673.385	0.0280977
673.52	0.028161
673.655	0.028604
673.789	0.0293001
673.924	0.0283508
674.059	0.0277813
674.194	0.0277813
674.329	0.0287305
674.464	0.029047
674.599	0.027718
674.734	0.0284774
674.869	0.0280344
675.003	0.0282243
675.138	0.0276547
675.273	0.0277813
675.408	0.0288571
675.543	0.0283508
675.678	0.027718
675.813	0.0283508
675.948	0.0291102
676.083	0.0285407
676.217	0.0279079
676.352	0.0282876
676.487	0.0270852
676.622	0.0280977
676.757	0.028161
676.892	0.0287938
677.027	0.0287305
677.162	0.0286673
677.297	0.0287305
677.431	0.028161
677.566	0.029047
677.701	0.0277813
677.836	0.028604
677.971	0.0282876
678.106	0.028161
678.241	0.0280344
678.376	0.0284774
678.511	0.0284141
678.645	0.0287938
678.78	0.0279079
678.915	0.028161
679.05	0.0282876
679.185	0.0279079
679.32	0.0283508
679.455	0.0282243
679.59	0.0282876
679.724	0.028604
679.859	0.0279711
679.994	0.0286673
680.129	0.0282876
680.264	0.0284141
680.399	0.0278446
680.534	0.028604
680.669	0.027275
680.803	0.0279711
680.938	0.0282876
681.073	0.0296798
681.208	0.0287305
681.343	0.0287305
681.478	0.0279711
681.613	0.0276547
681.748	0.0287938
681.882	0.0280977
682.017	0.0279711
682.152	0.0291102
682.287	0.0288571
682.422	0.029047
682.557	0.0284141
682.692	0.0280344
682.827	0.0280344
682.961	0.0282876
683.096	0.028161
683.231	0.0291735
683.366	0.0277813
683.501	0.0279079
683.636	0.0278446
683.771	0.0284141
683.906	0.0283508
684.04	0.0279711
684.175	0.027718
684.31	0.028604
684.445	0.0285407
684.58	0.0296165
684.715	0.0280977
684.85	0.028604
684.984	0.0283508
685.119	0.028604
685.254	0.0277813
685.389	0.0287305
685.524	0.028604
685.659	0.0283508
685.794	0.0286673
685.928	0.0279079
686.063	0.0284141
686.198	0.028161
686.333	0.0279079
686.468	0.0284141
686.603	0.0284774
686.738	0.028604
686.872	0.0282876
687.007	0.028604
687.142	0.028161
687.277	0.0282243
687.412	0.0289204
687.547	0.0279079
687.682	0.0285407
687.816	0.0282243
687.951	0.028604
688.086	0.0287305
688.221	0.0284774
688.356	0.0284774
688.491	0.0285407
688.626	0.0272117
688.76	0.0286673
688.895	0.0286673
689.03	0.0280977
689.165	0.0287305
689.3	0.0282243
689.435	0.0276547
689.57	0.028604
689.704	0.0282876
689.839	0.0280344
689.974	0.0282876
690.109	0.0291102
690.244	0.0278446
690.379	0.0277813
690.513	0.0280977
690.648	0.0285407
690.783	0.0286673
690.918	0.0280977
691.053	0.0282243
691.188	0.0287305
691.323	0.0284141
691.457	0.0286673
691.592	0.0278446
691.727	0.0291735
691.862	0.029047
691.997	0.0283508
692.132	0.0282243
692.266	0.0284774
692.401	0.0280977
692.536	0.0285407
692.671	0.0289204
692.806	0.027718
692.941	0.0292368
693.075	0.0280977
693.21	0.0275282
693.345	0.0289204
693.48	0.028161
693.615	0.0284774
693.75	0.028161
693.885	0.0279711
694.019	0.0288571
694.154	0.0276547
694.289	0.0285407
694.424	0.0280344
694.559	0.0277813
694.694	0.0284141
694.828	0.0287938
694.963	0.0279711
695.098	0.0284141
695.233	0.0277813
695.368	0.0288571
695.503	0.0292368
695.637	0.0292368
695.772	0.0283508
695.907	0.0283508
696.042	0.0276547
696.177	0.0276547
696.312	0.0278446
696.446	0.0272117
696.581	0.0280344
696.716	0.0282876
696.851	0.0287305
696.986	0.0275282
697.12	0.0277813
697.255	0.0276547
697.39	0.0275282
697.525	0.027718
697.66	0.027718
697.795	0.0284141
697.929	0.0284141
698.064	0.027718
698.199	0.028161
698.334	0.0289204
698.469	0.0285407
698.604	0.0279711
698.738	0.0287938
698.873	0.0278446
699.008	0.0276547
699.143	0.0282243
699.278	0.0277813
699.412	0.0280344
699.547	0.028604
699.682	0.0285407
699.817	0.0294267
699.952	0.0276547
700.087	0.027718
700.221	0.0278446
700.356	0.0287305
700.491	0.0284774
700.626	0.0293001
700.761	0.028604
700.895	0.0287938
701.03	0.0280344
701.165	0.0275914
701.3	0.0286673
701.435	0.028604
701.57	0.0291102
701.704	0.0282876
701.839	0.0270852
701.974	0.028161
702.109	0.0289837
702.244	0.0282243
702.378	0.0278446
702.513	0.028161
702.648	0.0289837
702.783	0.0282876
702.918	0.028604
703.052	0.0277813
703.187	0.0286673
703.322	0.029047
703.457	0.0285407
703.592	0.0284774
703.727	0.0291735
