Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.13811
617.773	0.134451
617.908	0.135976
618.043	0.13628
618.178	0.135671
618.313	0.13689
618.448	0.135976
618.583	0.139024
618.718	0.135061
618.853	0.135366
618.988	0.137805
619.123	0.131707
619.258	0.133537
619.394	0.138415
619.529	0.1375
619.664	0.138415
619.799	0.133841
619.934	0.1375
620.069	0.13689
620.204	0.134146
620.339	0.137195
620.474	0.133841
620.609	0.132317
620.744	0.135061
620.879	0.139939
621.014	0.13872
621.149	0.13689
621.284	0.135976
621.419	0.135976
621.554	0.132012
621.689	0.138415
621.825	0.13628
621.96	0.139939
622.095	0.135976
622.23	0.134146
622.365	0.136585
622.5	0.136585
622.635	0.13811
622.77	0.140244
622.905	0.132317
623.04	0.13811
623.175	0.134451
623.31	0.135976
623.445	0.134451
623.58	0.142073
623.715	0.133537
623.85	0.13872
623.985	0.131402
624.12	0.136585
624.255	0.133537
624.39	0.135061
624.525	0.135671
624.661	0.136585
624.796	0.138415
624.931	0.134451
625.066	0.13689
625.201	0.132622
625.336	0.137195
625.471	0.13872
625.606	0.135671
625.741	0.136585
625.876	0.1375
626.011	0.133232
626.146	0.134756
626.281	0.135976
626.416	0.135366
626.551	0.132317
626.686	0.13689
626.821	0.141159
626.956	0.13689
627.091	0.133537
627.226	0.135061
627.361	0.134756
627.496	0.13872
627.631	0.139024
627.766	0.13872
627.901	0.134451
628.036	0.135061
628.171	0.135061
628.307	0.134451
628.442	0.13628
628.577	0.135061
628.712	0.1375
628.847	0.134146
628.982	0.13628
629.117	0.132927
629.252	0.132927
629.387	0.135976
629.522	0.137195
629.657	0.13872
629.792	0.139329
629.927	0.132317
630.062	0.133232
630.197	0.135061
630.332	0.139329
630.467	0.135671
630.602	0.135061
630.737	0.1375
630.872	0.137805
631.007	0.135366
631.142	0.137195
631.277	0.137195
631.412	0.139634
631.547	0.138415
631.682	0.135061
631.817	0.13811
631.952	0.133232
632.087	0.138415
632.222	0.132317
632.357	0.133537
632.492	0.13689
632.627	0.134146
632.762	0.135366
632.897	0.134146
633.032	0.130183
633.167	0.139024
633.302	0.139329
633.437	0.137805
633.572	0.133537
633.707	0.134451
633.842	0.132927
633.978	0.135366
634.113	0.134146
634.248	0.136585
634.383	0.134146
634.518	0.13689
634.653	0.13872
634.788	0.135366
634.923	0.13628
635.058	0.135671
635.193	0.134756
635.328	0.134756
635.463	0.136585
635.598	0.135061
635.733	0.137805
635.868	0.13872
636.003	0.134756
636.138	0.132927
636.273	0.138415
636.408	0.135976
636.543	0.134451
636.678	0.13811
636.813	0.130793
636.948	0.137805
637.083	0.132927
637.218	0.134146
637.353	0.138415
637.488	0.135366
637.623	0.133841
637.758	0.13872
637.893	0.134756
638.028	0.136585
638.163	0.13628
638.298	0.135061
638.433	0.13628
638.568	0.140549
638.703	0.134756
638.838	0.135976
638.973	0.139634
639.108	0.135976
639.243	0.134451
639.378	0.140244
639.513	0.135366
639.648	0.135061
639.783	0.134451
639.918	0.137805
640.053	0.13872
640.188	0.137805
640.323	0.13628
640.458	0.135061
640.593	0.135671
640.728	0.139329
640.863	0.132927
640.998	0.134756
641.133	0.13628
641.268	0.138415
641.403	0.135976
641.538	0.133537
641.673	0.133841
641.808	0.132012
641.943	0.131098
642.078	0.1375
642.213	0.13811
642.348	0.135976
642.483	0.13628
642.618	0.137195
642.753	0.133841
642.888	0.131402
643.023	0.140854
643.158	0.132622
643.293	0.131402
643.428	0.137195
643.563	0.136585
643.698	0.137805
643.833	0.139329
643.968	0.137805
644.103	0.13689
644.237	0.135061
644.372	0.134146
644.507	0.13872
644.642	0.1375
644.777	0.140244
644.912	0.130183
645.047	0.134146
645.182	0.135366
645.317	0.132012
645.452	0.138415
645.587	0.136585
645.722	0.139024
645.857	0.134756
645.992	0.137805
646.127	0.137805
646.262	0.135671
646.397	0.133537
646.532	0.1375
646.667	0.137195
646.802	0.135976
646.937	0.137805
647.072	0.138415
647.207	0.134146
647.342	0.13628
647.477	0.136585
647.612	0.1375
647.747	0.139329
647.882	0.13628
648.017	0.134451
648.152	0.140549
648.287	0.137805
648.422	0.133841
648.557	0.133537
648.692	0.1375
648.827	0.1375
648.962	0.136585
649.097	0.134146
649.232	0.135976
649.367	0.135366
649.502	0.1375
649.637	0.138415
649.772	0.138415
649.906	0.133841
650.041	0.137805
650.176	0.135671
650.311	0.135976
650.446	0.137195
650.581	0.134451
650.716	0.134146
650.851	0.139024
650.986	0.135366
651.121	0.135976
651.256	0.133232
651.391	0.134451
651.526	0.133537
651.661	0.135671
651.796	0.135061
651.931	0.139634
652.066	0.137805
652.201	0.134756
652.336	0.13811
652.471	0.139024
652.606	0.138415
652.741	0.133537
652.876	0.134756
653.011	0.132927
653.146	0.13811
653.281	0.135671
653.415	0.139634
653.55	0.134451
653.685	0.140854
653.82	0.136585
653.955	0.137805
654.09	0.1375
654.225	0.139024
654.36	0.139939
654.495	0.132622
654.63	0.135976
654.765	0.135976
654.9	0.133537
655.035	0.134146
655.17	0.1375
655.305	0.13811
655.44	0.13689
655.575	0.133232
655.71	0.1375
655.845	0.135976
655.98	0.133537
656.115	0.133232
656.25	0.139634
656.384	0.13689
656.519	0.134451
656.654	0.133537
656.789	0.133841
656.924	0.135976
657.059	0.135061
657.194	0.134756
657.329	0.137195
657.464	0.135366
657.599	0.137805
657.734	0.133537
657.869	0.139329
658.004	0.136585
658.139	0.137805
658.274	0.135061
658.409	0.135061
658.544	0.13872
658.679	0.13689
658.813	0.130793
658.948	0.139024
659.083	0.136585
659.218	0.137805
659.353	0.13811
659.488	0.13628
659.623	0.1375
659.758	0.133841
659.893	0.133537
660.028	0.135671
660.163	0.132622
660.298	0.135671
660.433	0.132622
660.568	0.135671
660.703	0.13872
660.838	0.136585
660.972	0.13628
661.107	0.13628
661.242	0.137805
661.377	0.135671
661.512	0.13628
661.647	0.13689
661.782	0.138415
661.917	0.139024
662.052	0.136585
662.187	0.13689
662.322	0.133841
662.457	0.133537
662.592	0.13628
662.727	0.133537
662.862	0.136585
662.996	0.133841
663.131	0.133537
663.266	0.135976
663.401	0.132317
663.536	0.133841
663.671	0.139634
663.806	0.135061
663.941	0.139024
664.076	0.135976
664.211	0.139024
664.346	0.132622
664.481	0.13811
664.616	0.130488
664.75	0.1375
664.885	0.135976
665.02	0.133537
665.155	0.133537
665.29	0.131402
665.425	0.1375
665.56	0.137805
665.695	0.137195
665.83	0.134146
665.965	0.1375
666.1	0.13628
666.235	0.132927
666.37	0.132317
666.504	0.140244
