Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0271706
617.773	0.0276591
617.908	0.0277201
618.043	0.0267432
618.178	0.0270485
618.313	0.0272927
618.448	0.0280865
618.583	0.0282086
618.718	0.0272317
618.853	0.0268653
618.988	0.0274759
619.123	0.027598
619.258	0.0282086
619.394	0.0272927
619.529	0.0274148
619.664	0.0272317
619.799	0.0273538
619.934	0.0275369
620.069	0.0275369
620.204	0.0270485
620.339	0.0274148
620.474	0.0273538
620.609	0.0277812
620.744	0.0268042
620.879	0.0272927
621.014	0.0267432
621.149	0.0277201
621.284	0.0269264
621.419	0.027598
621.554	0.0271706
621.689	0.0270485
621.825	0.0270485
621.96	0.0278422
622.095	0.0267432
622.23	0.0278422
622.365	0.0277201
622.5	0.0274759
622.635	0.0280254
622.77	0.0268653
622.905	0.0270485
623.04	0.027598
623.175	0.0271706
623.31	0.0272927
623.445	0.0273538
623.58	0.0275369
623.715	0.0267432
623.85	0.0272317
623.985	0.0271706
624.12	0.0279033
624.255	0.0275369
624.39	0.0277812
624.525	0.0275369
624.661	0.0271095
624.796	0.0277812
624.931	0.0272317
625.066	0.0272927
625.201	0.0273538
625.336	0.0278422
625.471	0.0279033
625.606	0.0271706
625.741	0.0269874
625.876	0.0267432
626.011	0.0280865
626.146	0.0273538
626.281	0.0270485
626.416	0.0266821
626.551	0.0270485
626.686	0.0273538
626.821	0.0274759
626.956	0.0266211
627.091	0.0275369
627.226	0.0270485
627.361	0.0272317
627.496	0.0279033
627.631	0.0276591
627.766	0.0271706
627.901	0.0274759
628.036	0.0275369
628.171	0.0270485
628.307	0.0272927
628.442	0.0272927
628.577	0.0270485
628.712	0.0276591
628.847	0.026499
628.982	0.0270485
629.117	0.0272317
629.252	0.0274148
629.387	0.0268653
629.522	0.0281475
629.657	0.0269264
629.792	0.0272927
629.927	0.0274759
630.062	0.0264379
630.197	0.0271706
630.332	0.0268653
630.467	0.0271095
630.602	0.0271706
630.737	0.0273538
630.872	0.0270485
631.007	0.027598
631.142	0.0278422
631.277	0.0272317
631.412	0.0268653
631.547	0.0273538
631.682	0.0272317
631.817	0.02656
631.952	0.0276591
632.087	0.0275369
632.222	0.0272927
632.357	0.0263768
632.492	0.0279033
632.627	0.0284528
632.762	0.0273538
632.897	0.0275369
633.032	0.0271706
633.167	0.0279033
633.302	0.0275369
633.437	0.0277201
633.572	0.0271706
633.707	0.0270485
633.842	0.0270485
633.978	0.0277201
634.113	0.0272317
634.248	0.027598
634.383	0.0278422
634.518	0.0278422
634.653	0.0269874
634.788	0.0271706
634.923	0.0282696
635.058	0.0274148
635.193	0.0279033
635.328	0.0271706
635.463	0.0276591
635.598	0.027598
635.733	0.0277812
635.868	0.0279033
636.003	0.0268042
636.138	0.0274759
636.273	0.0277201
636.408	0.0275369
636.543	0.0271095
636.678	0.0261326
636.813	0.0273538
636.948	0.0274148
637.083	0.0272317
637.218	0.0267432
637.353	0.0272927
637.488	0.0275369
637.623	0.0270485
637.758	0.0276591
637.893	0.0272317
638.028	0.0275369
638.163	0.02656
638.298	0.0272317
638.433	0.0273538
638.568	0.0277812
638.703	0.0269874
638.838	0.0269264
638.973	0.0277201
639.108	0.0271095
639.243	0.0267432
639.378	0.0268042
639.513	0.0277812
639.648	0.0274759
639.783	0.0274759
639.918	0.0274759
640.053	0.0275369
640.188	0.0269874
640.323	0.0279643
640.458	0.0272317
640.593	0.0274759
640.728	0.0274759
640.863	0.0274759
640.998	0.0272927
641.133	0.0270485
641.268	0.0268042
641.403	0.0272927
641.538	0.0274759
641.673	0.0272927
641.808	0.0282086
641.943	0.0278422
642.078	0.0277201
642.213	0.0277201
642.348	0.0272317
642.483	0.0277201
642.618	0.0271095
642.753	0.0266211
642.888	0.0274148
643.023	0.0274148
643.158	0.0272927
643.293	0.0275369
643.428	0.0261326
643.563	0.0271706
643.698	0.0276591
643.833	0.0278422
643.968	0.0274759
644.103	0.0280865
644.237	0.0269874
644.372	0.027598
644.507	0.0271706
644.642	0.0269264
644.777	0.0267432
644.912	0.0266821
645.047	0.0276591
645.182	0.0276591
645.317	0.0278422
