Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0310018
617.773	0.0307928
617.908	0.0316288
618.043	0.0318378
618.178	0.0320468
618.313	0.0303051
618.448	0.0308625
618.583	0.0305838
618.718	0.0311411
618.853	0.0316288
618.988	0.0312108
619.123	0.0305838
619.258	0.0311411
619.394	0.0316288
619.529	0.0312805
619.664	0.0316985
619.799	0.0314895
619.934	0.0311411
620.069	0.0314198
620.204	0.0320468
620.339	0.0323255
620.474	0.0305838
620.609	0.0326738
620.744	0.0319075
620.879	0.0305838
621.014	0.0316985
621.149	0.0301658
621.284	0.0316985
621.419	0.0316288
621.554	0.0305141
621.689	0.0313501
621.825	0.0309321
621.96	0.0323952
622.095	0.0310715
622.23	0.0312108
622.365	0.0310715
622.5	0.0312805
622.635	0.0312108
622.77	0.0319771
622.905	0.0312805
623.04	0.0311411
623.175	0.0308625
623.31	0.0319771
623.445	0.0315591
623.58	0.0312805
623.715	0.0321862
623.85	0.0314895
623.985	0.0314895
624.12	0.0316288
624.255	0.0305141
624.39	0.0318378
624.525	0.0307231
624.661	0.0311411
624.796	0.0311411
624.931	0.0312805
625.066	0.0318378
625.201	0.0310018
625.336	0.0306535
625.471	0.0310715
625.606	0.0313501
625.741	0.0317681
625.876	0.0307231
626.011	0.0309321
626.146	0.0308625
626.281	0.0314895
626.416	0.0316288
626.551	0.0314198
626.686	0.0303748
626.821	0.0313501
626.956	0.0315591
627.091	0.0307231
627.226	0.0315591
627.361	0.0312108
627.496	0.0310715
627.631	0.0304445
627.766	0.0315591
627.901	0.0298175
628.036	0.0309321
628.171	0.0313501
628.307	0.0307928
628.442	0.0306535
628.577	0.0310715
628.712	0.0314198
628.847	0.0316288
628.982	0.0321862
629.117	0.0305141
629.252	0.0307231
629.387	0.0312108
629.522	0.0316985
629.657	0.0304445
629.792	0.0319771
629.927	0.0311411
630.062	0.0326738
630.197	0.0308625
630.332	0.0316985
630.467	0.0305141
630.602	0.0312108
630.737	0.0310715
630.872	0.0310018
631.007	0.0302355
631.142	0.0311411
631.277	0.0303748
631.412	0.0310018
631.547	0.0320468
631.682	0.0293298
631.817	0.0310715
631.952	0.0309321
632.087	0.0312108
632.222	0.0316985
632.357	0.0308625
632.492	0.0316288
632.627	0.0310715
632.762	0.0307231
632.897	0.0316288
633.032	0.0310715
633.167	0.0300961
633.302	0.0305141
633.437	0.0312108
633.572	0.0308625
633.707	0.0308625
633.842	0.0305141
633.978	0.0309321
634.113	0.0306535
634.248	0.0312805
634.383	0.0315591
634.518	0.0314895
634.653	0.0314198
634.788	0.0310715
634.923	0.0314198
635.058	0.0312805
635.193	0.0316288
635.328	0.0305838
635.463	0.0312805
635.598	0.0312805
635.733	0.0319075
635.868	0.0308625
636.003	0.0310715
636.138	0.0312108
636.273	0.0318378
636.408	0.0304445
636.543	0.0307231
636.678	0.0310018
636.813	0.0315591
636.948	0.0309321
637.083	0.0305838
637.218	0.0311411
637.353	0.0318378
637.488	0.0320468
637.623	0.0315591
637.758	0.0316985
637.893	0.0306535
638.028	0.0305141
638.163	0.0318378
638.298	0.0305838
638.433	0.0303748
