Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0289102
617.773	0.0279323
617.908	0.026771
618.043	0.0267099
618.178	0.0279934
618.313	0.0276878
618.448	0.0276267
618.583	0.0279934
618.718	0.0272599
618.853	0.0276878
618.988	0.0284824
619.123	0.0271377
619.258	0.0272599
619.394	0.028299
619.529	0.0275044
619.664	0.0271377
619.799	0.0289102
619.934	0.0273822
620.069	0.0276267
620.204	0.0271377
620.339	0.0269543
620.474	0.0273822
620.609	0.0279934
620.744	0.0282379
620.879	0.0279323
621.014	0.0271988
621.149	0.0270155
621.284	0.0273211
621.419	0.0271377
621.554	0.0279323
621.689	0.0288491
621.825	0.0276878
621.96	0.0278712
622.095	0.0284824
622.23	0.0268932
622.365	0.0281768
622.5	0.0278712
622.635	0.0273822
622.77	0.0279934
622.905	0.0280545
623.04	0.02781
623.175	0.0275656
623.31	0.0269543
623.445	0.0276878
623.58	0.0268932
623.715	0.028788
623.85	0.0283601
623.985	0.0282379
624.12	0.0276878
624.255	0.0275044
624.39	0.0281768
624.525	0.0278712
624.661	0.0275044
624.796	0.0272599
624.931	0.02781
625.066	0.028299
625.201	0.0275044
625.336	0.0281156
625.471	0.0281156
625.606	0.0277489
625.741	0.028299
625.876	0.0277489
626.011	0.0288491
626.146	0.0277489
626.281	0.0285435
626.416	0.0281156
626.551	0.0282379
626.686	0.0277489
626.821	0.0287269
626.956	0.0268932
627.091	0.0278712
627.226	0.0276267
627.361	0.0276267
627.496	0.0270766
627.631	0.0273822
627.766	0.0280545
627.901	0.028788
628.036	0.02781
628.171	0.0280545
628.307	0.0276878
628.442	0.0281156
628.577	0.0278712
628.712	0.0271988
628.847	0.0278712
628.982	0.0276878
629.117	0.0281768
629.252	0.02781
629.387	0.0277489
629.522	0.0276267
629.657	0.0275044
629.792	0.02781
629.927	0.0271377
630.062	0.0279323
630.197	0.0270155
630.332	0.0278712
630.467	0.0280545
630.602	0.0268321
630.737	0.0279934
630.872	0.0284824
631.007	0.0282379
631.142	0.0279934
631.277	0.02781
631.412	0.0282379
631.547	0.0277489
631.682	0.0270155
631.817	0.0275656
631.952	0.0276878
632.087	0.0275656
632.222	0.0273822
632.357	0.0277489
632.492	0.0292769
632.627	0.0285435
632.762	0.02781
632.897	0.0279934
633.032	0.0282379
633.167	0.0272599
633.302	0.0270155
633.437	0.0280545
633.572	0.0282379
633.707	0.026771
633.842	0.0275656
633.978	0.0275044
634.113	0.0279323
634.248	0.0275656
634.383	0.0276878
634.518	0.0281156
634.653	0.0280545
634.788	0.0282379
634.923	0.0269543
635.058	0.0276267
635.193	0.0269543
635.328	0.0282379
635.463	0.0280545
635.598	0.0284212
635.733	0.028299
635.868	0.0279934
636.003	0.0275656
636.138	0.0269543
636.273	0.0271377
636.408	0.0276267
636.543	0.0282379
636.678	0.0276878
636.813	0.0282379
636.948	0.0281156
637.083	0.028788
637.218	0.02781
637.353	0.0279934
637.488	0.0271377
637.623	0.0277489
637.758	0.0274433
637.893	0.0281156
638.028	0.0283601
638.163	0.0269543
638.298	0.0274433
638.433	0.0279934
638.568	0.0289102
638.703	0.0271988
638.838	0.0276878
638.973	0.0266487
639.108	0.0272599
639.243	0.0283601
639.378	0.0275656
639.513	0.0278712
639.648	0.0278712
639.783	0.0275044
639.918	0.0273822
640.053	0.0279934
640.188	0.0287269
640.323	0.0275044
640.458	0.028299
640.593	0.0281156
640.728	0.0272599
640.863	0.0275656
640.998	0.0289102
641.133	0.0274433
641.268	0.0279323
641.403	0.0277489
641.538	0.0278712
641.673	0.0282379
641.808	0.0276878
641.943	0.0280545
642.078	0.0271988
642.213	0.0280545
642.348	0.0275044
642.483	0.0277489
642.618	0.0275044
642.753	0.0273211
642.888	0.0281156
643.023	0.0287269
643.158	0.0284212
643.293	0.0279323
643.428	0.0275044
643.563	0.0277489
643.698	0.02781
643.833	0.0286046
643.968	0.0279323
644.103	0.0274433
644.237	0.0279323
644.372	0.0276878
644.507	0.02781
644.642	0.02781
644.777	0.0275044
644.912	0.0286046
645.047	0.0270155
645.182	0.0275044
645.317	0.0286657
645.452	0.026771
645.587	0.028299
645.722	0.0281156
645.857	0.0274433
645.992	0.0276878
646.127	0.0278712
646.262	0.0274433
646.397	0.0276878
646.532	0.0283601
646.667	0.0276878
646.802	0.0282379
646.937	0.0276878
647.072	0.0277489
647.207	0.0284212
647.342	0.0273211
647.477	0.0275656
647.612	0.0281156
647.747	0.0270766
647.882	0.0280545
648.017	0.0275656
648.152	0.0272599
648.287	0.0273211
648.422	0.0268321
648.557	0.0275044
648.692	0.0277489
648.827	0.0282379
648.962	0.0284212
649.097	0.0281156
649.232	0.0275656
649.367	0.0280545
649.502	0.0281768
649.637	0.0268932
649.772	0.02781
649.906	0.0275044
650.041	0.0269543
650.176	0.0275044
650.311	0.0273211
650.446	0.0279323
650.581	0.0274433
650.716	0.0277489
650.851	0.028299
650.986	0.0288491
651.121	0.0276267
651.256	0.0276267
651.391	0.0272599
651.526	0.0279323
651.661	0.0266487
651.796	0.0279934
651.931	0.0278712
652.066	0.02781
652.201	0.0277489
652.336	0.0273822
652.471	0.0275656
652.606	0.0275044
652.741	0.0276878
652.876	0.0283601
653.011	0.0278712
653.146	0.0273211
653.281	0.0270766
653.415	0.0279323
653.55	0.0286657
653.685	0.0276267
653.82	0.0272599
653.955	0.0279323
654.09	0.0272599
654.225	0.0276267
654.36	0.0277489
654.495	0.0265876
654.63	0.0279934
654.765	0.0268932
654.9	0.02781
655.035	0.0277489
655.17	0.0277489
655.305	0.0279323
655.44	0.028299
655.575	0.0267099
655.71	0.0284824
655.845	0.0270766
655.98	0.0264654
656.115	0.0276878
656.25	0.0282379
656.384	0.0277489
656.519	0.0285435
656.654	0.02781
656.789	0.0277489
656.924	0.0273211
657.059	0.0273211
657.194	0.0276878
657.329	0.0274433
657.464	0.0276878
657.599	0.02781
657.734	0.0277489
657.869	0.0268932
658.004	0.0275656
658.139	0.0280545
658.274	0.028299
658.409	0.0277489
658.544	0.0277489
658.679	0.0280545
658.813	0.026771
658.948	0.0274433
659.083	0.0277489
659.218	0.0278712
659.353	0.0273822
659.488	0.0276878
659.623	0.0277489
659.758	0.0276267
659.893	0.0275656
660.028	0.0280545
660.163	0.0278712
660.298	0.0275044
660.433	0.028299
660.568	0.0269543
660.703	0.0279323
660.838	0.0268321
660.972	0.0286046
661.107	0.0276267
661.242	0.0271377
661.377	0.0273822
661.512	0.0270766
661.647	0.0281768
661.782	0.0284824
661.917	0.0280545
662.052	0.0279934
662.187	0.0273211
662.322	0.0274433
662.457	0.0275656
662.592	0.0278712
662.727	0.0274433
662.862	0.0268321
662.996	0.0278712
663.131	0.0276878
663.266	0.02781
663.401	0.0266487
663.536	0.0279934
663.671	0.0283601
663.806	0.0274433
663.941	0.0268932
664.076	0.0276267
664.211	0.02781
664.346	0.0284212
664.481	0.0275656
664.616	0.0279934
664.75	0.0273822
664.885	0.0277489
665.02	0.02781
665.155	0.0273211
665.29	0.02781
665.425	0.0267099
665.56	0.0276878
665.695	0.02781
665.83	0.0271377
665.965	0.0281768
666.1	0.0276267
666.235	0.0276267
666.37	0.0281156
666.504	0.0275656
666.639	0.02781
666.774	0.0275656
666.909	0.0286657
667.044	0.0281768
667.179	0.0277489
667.314	0.0276878
667.449	0.0268932
667.584	0.0277489
667.719	0.0271988
667.854	0.0268321
667.989	0.0290325
668.123	0.0279323
668.258	0.0280545
668.393	0.0270766
668.528	0.0281156
668.663	0.0275656
668.798	0.0276267
668.933	0.0278712
669.068	0.0272599
669.203	0.02781
669.338	0.0267099
669.473	0.0277489
669.607	0.0279323
669.742	0.0279323
669.877	0.0279934
670.012	0.0275656
670.147	0.0273822
670.282	0.0281156
670.417	0.0279934
670.552	0.0281156
670.687	0.0278712
670.822	0.0271988
670.957	0.0276878
671.091	0.0274433
671.226	0.0273822
671.361	0.0278712
671.496	0.0279323
671.631	0.0273822
671.766	0.02781
671.901	0.028299
672.036	0.0279323
672.171	0.026771
672.306	0.0289102
672.44	0.0287269
672.575	0.0270766
672.71	0.0281768
672.845	0.0270766
672.98	0.0280545
673.115	0.0271377
673.25	0.0271988
673.385	0.0274433
673.52	0.0273211
673.655	0.0277489
673.789	0.0286046
673.924	0.0275044
674.059	0.0279934
674.194	0.0268321
674.329	0.0272599
674.464	0.0268932
674.599	0.0280545
674.734	0.0276267
674.869	0.028299
675.003	0.0275656
675.138	0.0279934
675.273	0.0275044
675.408	0.0277489
675.543	0.02781
675.678	0.0279323
675.813	0.028299
675.948	0.0277489
676.083	0.0278712
676.217	0.0286046
676.352	0.0281768
676.487	0.0281156
676.622	0.0279323
676.757	0.0276267
676.892	0.0277489
677.027	0.0284824
677.162	0.0276267
677.297	0.028299
677.431	0.0269543
677.566	0.0267099
677.701	0.0279323
677.836	0.0277489
677.971	0.0276878
678.106	0.0265876
678.241	0.0281768
678.376	0.0272599
678.511	0.0276878
678.645	0.0283601
678.78	0.0279934
678.915	0.0273211
679.05	0.0275656
679.185	0.0277489
679.32	0.0270766
679.455	0.02781
679.59	0.02781
679.724	0.02781
679.859	0.0271988
679.994	0.02781
680.129	0.0290325
680.264	0.0277489
680.399	0.0276267
680.534	0.0282379
680.669	0.0272599
680.803	0.0276267
680.938	0.0275656
681.073	0.0282379
681.208	0.0270766
681.343	0.0281156
681.478	0.0283601
681.613	0.0273211
681.748	0.0273211
681.882	0.0267099
682.017	0.0273211
682.152	0.0276878
682.287	0.0270155
682.422	0.0284824
682.557	0.0274433
682.692	0.026771
682.827	0.0274433
682.961	0.0283601
683.096	0.0285435
683.231	0.0268932
683.366	0.0276267
683.501	0.0281768
683.636	0.0273211
683.771	0.0280545
683.906	0.0282379
684.04	0.0275656
684.175	0.0279323
684.31	0.0275656
684.445	0.0281156
684.58	0.0279934
684.715	0.0281768
684.85	0.0279934
684.984	0.0270155
685.119	0.028299
685.254	0.0277489
685.389	0.0269543
685.524	0.0271377
685.659	0.0281156
685.794	0.0278712
685.928	0.0288491
686.063	0.0278712
686.198	0.0276267
686.333	0.0267099
686.468	0.0282379
686.603	0.0284212
686.738	0.0276267
686.872	0.028299
687.007	0.0279323
687.142	0.0282379
687.277	0.0279934
687.412	0.0273822
687.547	0.0279934
687.682	0.0270155
687.816	0.02781
687.951	0.0272599
688.086	0.0266487
688.221	0.0276878
688.356	0.0275656
688.491	0.0274433
688.626	0.0284824
688.76	0.0279323
688.895	0.0270155
689.03	0.0267099
689.165	0.0283601
689.3	0.0281156
689.435	0.0279934
689.57	0.026771
689.704	0.0265265
689.839	0.0282379
689.974	0.0281156
690.109	0.028299
690.244	0.0275044
690.379	0.0277489
690.513	0.0278712
690.648	0.0276878
690.783	0.0273822
690.918	0.028299
691.053	0.0284824
691.188	0.0275656
691.323	0.02781
691.457	0.0273211
691.592	0.0278712
691.727	0.0275656
691.862	0.0270766
691.997	0.0277489
692.132	0.0286046
692.266	0.0270766
692.401	0.0283601
692.536	0.0287269
692.671	0.0275044
692.806	0.02781
692.941	0.0279323
693.075	0.0265876
693.21	0.0283601
693.345	0.0279934
693.48	0.0279934
693.615	0.0275656
693.75	0.0279323
693.885	0.0273211
694.019	0.02781
694.154	0.0273822
694.289	0.0279934
694.424	0.0272599
694.559	0.028299
694.694	0.0262209
694.828	0.0281156
694.963	0.0271377
695.098	0.0271988
695.233	0.0273211
695.368	0.0275656
695.503	0.02781
695.637	0.0270155
695.772	0.0283601
695.907	0.0277489
696.042	0.0278712
696.177	0.028299
696.312	0.0276878
696.446	0.02781
696.581	0.0279934
696.716	0.0284212
696.851	0.0268932
696.986	0.0273211
697.12	0.0270155
697.255	0.0277489
697.39	0.0275656
697.525	0.0281768
697.66	0.0271377
697.795	0.0275044
697.929	0.0274433
698.064	0.0272599
698.199	0.0268321
698.334	0.0274433
698.469	0.0275656
698.604	0.0274433
698.738	0.0283601
698.873	0.0277489
699.008	0.0270766
699.143	0.0276878
699.278	0.02781
699.412	0.0276878
699.547	0.0281156
699.682	0.0277489
699.817	0.0279934
699.952	0.0276267
700.087	0.0269543
700.221	0.0282379
700.356	0.0275656
700.491	0.0274433
700.626	0.0274433
700.761	0.02781
700.895	0.0279323
701.03	0.028299
701.165	0.0278712
701.3	0.02781
701.435	0.0279323
701.57	0.0275656
701.704	0.0273822
701.839	0.0281156
701.974	0.02781
702.109	0.0281768
702.244	0.0274433
702.378	0.0276878
702.513	0.0275044
702.648	0.0276878
702.783	0.0280545
702.918	0.0284824
703.052	0.0269543
703.187	0.0276267
703.322	0.0272599
703.457	0.0278712
703.592	0.0272599
703.727	0.0279323
703.861	0.0270766
703.996	0.0280545
704.131	0.0276878
704.266	0.0285435
704.401	0.0284212
704.535	0.0270766
704.67	0.0279323
704.805	0.0271988
704.94	0.0276878
705.075	0.0273822
705.209	0.0270155
705.344	0.0285435
705.479	0.0276267
705.614	0.0279323
705.749	0.0271377
705.883	0.028299
706.018	0.0281768
706.153	0.0273211
706.288	0.0265265
706.423	0.0277489
706.557	0.0275044
706.692	0.0279934
706.827	0.0290325
706.962	0.0273211
707.097	0.0274433
707.231	0.0269543
707.366	0.0277489
707.501	0.0275656
707.636	0.0270766
707.771	0.02781
707.905	0.0280545
708.04	0.0275044
708.175	0.0273822
708.31	0.0273822
708.445	0.0283601
708.579	0.0274433
708.714	0.0276878
708.849	0.0275656
708.984	0.0277489
709.118	0.0277489
709.253	0.0274433
709.388	0.0286657
709.523	0.02781
709.658	0.0280545
709.792	0.0284824
709.927	0.02781
710.062	0.0278712
710.197	0.0276267
710.332	0.0279934
710.466	0.0276878
710.601	0.0272599
710.736	0.0282379
710.871	0.0279934
711.006	0.0281768
711.14	0.0273211
711.275	0.0282379
711.41	0.0275656
711.545	0.0277489
711.679	0.0278712
711.814	0.0279323
711.949	0.0280545
712.084	0.02781
712.219	0.0270766
712.353	0.0286046
712.488	0.0277489
712.623	0.0272599
712.758	0.0273211
712.892	0.0276267
713.027	0.0275044
713.162	0.0275656
713.297	0.0279934
713.432	0.028299
713.566	0.0276267
713.701	0.0281156
713.836	0.0273822
713.971	0.0271988
714.105	0.0279934
714.24	0.0286046
714.375	0.02781
714.51	0.0266487
714.645	0.02781
714.779	0.0286046
714.914	0.0279323
715.049	0.0284824
715.184	0.0279934
715.318	0.0274433
715.453	0.0273822
715.588	0.0278712
715.723	0.0279323
715.858	0.0276878
715.992	0.0279323
716.127	0.0275656
716.262	0.0273211
716.397	0.0277489
716.531	0.0281156
716.666	0.0281156
716.801	0.0277489
716.936	0.0279323
717.07	0.0269543
717.205	0.0270766
717.34	0.0269543
717.475	0.0273211
717.61	0.0281768
717.744	0.02781
717.879	0.0274433
718.014	0.0283601
718.149	0.0273211
718.283	0.0275044
718.418	0.0279323
718.553	0.0281156
718.688	0.02781
718.822	0.0273822
718.957	0.0277489
719.092	0.02781
719.227	0.0284212
719.361	0.0274433
719.496	0.0290936
719.631	0.0275044
719.766	0.0275656
719.9	0.0272599
720.035	0.028299
720.17	0.0277489
720.305	0.0281156
720.44	0.0271988
720.574	0.0277489
720.709	0.0275044
720.844	0.0281768
720.979	0.0278712
721.113	0.0277489
721.248	0.0275656
721.383	0.0282379
721.518	0.0270155
721.652	0.0275656
721.787	0.0276267
721.922	0.0276878
722.057	0.02781
722.191	0.0269543
722.326	0.0279323
722.461	0.026771
722.596	0.0277489
722.73	0.0279323
722.865	0.028299
723	0.0275044
723.135	0.0277489
723.269	0.0275044
723.404	0.0272599
723.539	0.028299
723.674	0.0271377
723.808	0.0273822
723.943	0.0280545
724.078	0.0281768
724.213	0.0277489
724.347	0.0276878
724.482	0.0282379
724.617	0.028788
724.752	0.0277489
724.886	0.0284824
725.021	0.028299
725.156	0.0271377
725.291	0.0281156
725.425	0.0271377
725.56	0.0277489
725.695	0.0277489
725.829	0.0287269
725.964	0.02781
726.099	0.0278712
726.234	0.0272599
726.368	0.028299
726.503	0.0271988
726.638	0.0279323
726.773	0.0272599
726.907	0.0270766
727.042	0.0277489
727.177	0.0280545
727.312	0.028299
727.446	0.0276267
727.581	0.0282379
727.716	0.0277489
727.851	0.0276267
727.985	0.0276878
