Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.692771
617.773	0.668675
617.908	0.661145
618.043	0.667169
618.178	0.676205
618.313	0.698795
618.448	0.677711
618.583	0.674699
618.718	0.689759
618.853	0.673193
618.988	0.682229
619.123	0.665663
619.258	0.695783
619.394	0.683735
619.529	0.689759
619.664	0.652108
619.799	0.688253
619.934	0.707831
620.069	0.707831
620.204	0.697289
620.339	0.685241
620.474	0.688253
620.609	0.689759
620.744	0.688253
620.879	0.692771
621.014	0.680723
621.149	0.677711
621.284	0.698795
621.419	0.700301
621.554	0.667169
621.689	0.707831
621.825	0.671687
621.96	0.697289
622.095	0.676205
622.23	0.688253
622.365	0.688253
622.5	0.694277
622.635	0.679217
622.77	0.694277
622.905	0.689759
623.04	0.664157
623.175	0.692771
623.31	0.694277
623.445	0.673193
623.58	0.662651
623.715	0.671687
623.85	0.688253
623.985	0.673193
624.12	0.679217
624.255	0.674699
624.39	0.697289
624.525	0.688253
624.661	0.686747
624.796	0.668675
624.931	0.668675
625.066	0.695783
625.201	0.704819
625.336	0.686747
625.471	0.694277
625.606	0.688253
625.741	0.694277
625.876	0.682229
626.011	0.691265
626.146	0.674699
626.281	0.683735
626.416	0.682229
626.551	0.698795
626.686	0.688253
626.821	0.689759
626.956	0.686747
627.091	0.674699
627.226	0.694277
627.361	0.695783
627.496	0.676205
627.631	0.685241
627.766	0.679217
627.901	0.670181
628.036	0.698795
628.171	0.679217
628.307	0.689759
628.442	0.691265
628.577	0.679217
628.712	0.688253
628.847	0.676205
628.982	0.671687
629.117	0.673193
629.252	0.683735
629.387	0.686747
629.522	0.674699
629.657	0.679217
629.792	0.677711
629.927	0.695783
630.062	0.680723
630.197	0.695783
630.332	0.694277
630.467	0.680723
630.602	0.671687
630.737	0.683735
630.872	0.695783
631.007	0.674699
631.142	0.685241
631.277	0.673193
631.412	0.680723
631.547	0.679217
631.682	0.691265
631.817	0.691265
631.952	0.674699
632.087	0.677711
632.222	0.695783
632.357	0.695783
632.492	0.694277
632.627	0.650602
632.762	0.683735
632.897	0.703313
633.032	0.668675
633.167	0.706325
633.302	0.662651
633.437	0.692771
633.572	0.709337
633.707	0.680723
633.842	0.667169
633.978	0.673193
634.113	0.680723
634.248	0.676205
634.383	0.664157
634.518	0.682229
634.653	0.676205
634.788	0.689759
634.923	0.658133
635.058	0.688253
635.193	0.667169
635.328	0.698795
635.463	0.686747
635.598	0.679217
635.733	0.671687
635.868	0.691265
636.003	0.691265
636.138	0.691265
636.273	0.661145
636.408	0.683735
636.543	0.682229
636.678	0.697289
636.813	0.673193
636.948	0.691265
637.083	0.670181
637.218	0.673193
637.353	0.676205
637.488	0.713855
637.623	0.685241
637.758	0.674699
637.893	0.683735
638.028	0.694277
638.163	0.697289
638.298	0.682229
638.433	0.677711
638.568	0.673193
638.703	0.689759
638.838	0.683735
638.973	0.680723
639.108	0.686747
639.243	0.685241
639.378	0.676205
639.513	0.676205
639.648	0.677711
639.783	0.688253
639.918	0.671687
640.053	0.674699
640.188	0.692771
640.323	0.692771
640.458	0.695783
640.593	0.673193
640.728	0.662651
640.863	0.689759
640.998	0.674699
641.133	0.694277
641.268	0.679217
641.403	0.677711
641.538	0.673193
641.673	0.686747
641.808	0.680723
641.943	0.680723
642.078	0.682229
642.213	0.671687
642.348	0.692771
642.483	0.668675
642.618	0.674699
642.753	0.689759
642.888	0.691265
643.023	0.698795
643.158	0.683735
643.293	0.682229
643.428	0.677711
643.563	0.692771
643.698	0.677711
643.833	0.691265
643.968	0.665663
644.103	0.691265
644.237	0.674699
644.372	0.662651
644.507	0.703313
644.642	0.671687
644.777	0.694277
644.912	0.691265
645.047	0.691265
645.182	0.689759
645.317	0.680723
645.452	0.676205
645.587	0.694277
645.722	0.665663
645.857	0.679217
645.992	0.677711
646.127	0.667169
646.262	0.664157
646.397	0.713855
646.532	0.673193
646.667	0.706325
646.802	0.667169
646.937	0.677711
647.072	0.685241
647.207	0.701807
647.342	0.686747
647.477	0.698795
647.612	0.683735
647.747	0.65512
647.882	0.671687
648.017	0.676205
648.152	0.677711
648.287	0.682229
648.422	0.661145
648.557	0.680723
648.692	0.688253
648.827	0.670181
648.962	0.677711
649.097	0.653614
649.232	0.694277
649.367	0.698795
649.502	0.683735
649.637	0.679217
649.772	0.697289
649.906	0.673193
650.041	0.709337
650.176	0.679217
650.311	0.692771
650.446	0.688253
650.581	0.670181
650.716	0.677711
650.851	0.673193
650.986	0.679217
651.121	0.695783
651.256	0.665663
651.391	0.685241
651.526	0.707831
651.661	0.679217
651.796	0.686747
651.931	0.664157
652.066	0.682229
652.201	0.685241
652.336	0.665663
652.471	0.662651
