Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0276506
617.773	0.0275896
617.908	0.0274675
618.043	0.0274065
618.178	0.0272844
618.313	0.0276506
618.448	0.0275285
618.583	0.0269181
618.718	0.026613
618.853	0.0272233
618.988	0.0272844
619.123	0.0277727
619.258	0.0284441
619.394	0.0275896
619.529	0.0274675
619.664	0.0276506
619.799	0.0283831
619.934	0.0265519
620.069	0.0270402
620.204	0.0276506
620.339	0.0279558
620.474	0.0275896
620.609	0.0274065
620.744	0.0269792
620.879	0.0270402
621.014	0.0288104
621.149	0.0270402
621.284	0.0276506
621.419	0.0281389
621.554	0.0272844
621.689	0.0276506
621.825	0.0274065
621.96	0.0285052
622.095	0.0272233
622.23	0.0282
622.365	0.0272844
622.5	0.0277727
622.635	0.0276506
622.77	0.0275896
622.905	0.0271623
623.04	0.026735
623.175	0.0280168
623.31	0.0274675
623.445	0.0282
623.58	0.0271623
623.715	0.0271623
623.85	0.0278337
623.985	0.0271623
624.12	0.0269792
624.255	0.0275896
624.39	0.0272233
624.525	0.0270402
624.661	0.0276506
624.796	0.0282
624.931	0.0264298
625.066	0.0272844
625.201	0.0274675
625.336	0.0265519
625.471	0.0272844
625.606	0.0275896
625.741	0.0273454
625.876	0.0280168
626.011	0.0280168
626.146	0.0269792
626.281	0.0284441
626.416	0.0272844
626.551	0.0274065
626.686	0.0271013
626.821	0.0277117
626.956	0.0274065
627.091	0.0269792
627.226	0.0280779
627.361	0.0275896
627.496	0.0280168
627.631	0.0273454
627.766	0.0278948
627.901	0.0283831
628.036	0.0275896
628.171	0.0272844
628.307	0.0272233
628.442	0.026674
628.577	0.0274675
628.712	0.0270402
628.847	0.0271623
628.982	0.0274065
629.117	0.0277117
629.252	0.0265519
629.387	0.0277117
629.522	0.0272844
629.657	0.0280168
629.792	0.0272844
629.927	0.0274675
630.062	0.0280168
630.197	0.0277727
630.332	0.0274065
630.467	0.0272844
630.602	0.0271013
630.737	0.0279558
630.872	0.0278337
631.007	0.0274675
631.142	0.026735
631.277	0.0273454
631.412	0.0269792
631.547	0.0273454
631.682	0.0279558
631.817	0.0281389
631.952	0.0278337
632.087	0.0275896
632.222	0.0269792
632.357	0.0280779
632.492	0.0272233
632.627	0.026735
632.762	0.0283831
632.897	0.0274065
633.032	0.0268571
633.167	0.0278337
633.302	0.0274065
633.437	0.0274065
633.572	0.0270402
633.707	0.0277117
633.842	0.0271623
633.978	0.0277117
634.113	0.0288714
634.248	0.0277117
634.383	0.026735
634.518	0.0273454
634.653	0.0281389
634.788	0.0278337
634.923	0.0275896
635.058	0.0278948
635.193	0.0275896
635.328	0.0274065
635.463	0.0278337
635.598	0.0271013
635.733	0.0280168
635.868	0.0286272
636.003	0.0280779
636.138	0.0274675
636.273	0.0276506
636.408	0.0273454
636.543	0.0277117
636.678	0.0276506
636.813	0.0276506
636.948	0.0273454
637.083	0.0275285
637.218	0.0270402
637.353	0.0272233
637.488	0.0272233
637.623	0.0274675
637.758	0.0274675
637.893	0.0280168
638.028	0.0269181
638.163	0.0270402
638.298	0.0272844
638.433	0.0278948
638.568	0.0275896
638.703	0.0270402
638.838	0.026735
638.973	0.0275285
639.108	0.0270402
639.243	0.0274675
639.378	0.0268571
639.513	0.0274675
639.648	0.026613
639.783	0.0282
639.918	0.0279558
640.053	0.0277117
640.188	0.0272233
640.323	0.0276506
640.458	0.0273454
640.593	0.0263078
640.728	0.0278337
640.863	0.0272844
640.998	0.0275285
641.133	0.0277117
641.268	0.0284441
641.403	0.0272233
641.538	0.0281389
641.673	0.0280168
641.808	0.0271013
641.943	0.0273454
642.078	0.0273454
642.213	0.0277117
642.348	0.0270402
642.483	0.0278337
642.618	0.0274065
642.753	0.0282
642.888	0.0272233
643.023	0.0272844
643.158	0.0279558
643.293	0.0278948
643.428	0.0268571
643.563	0.0280168
643.698	0.0269792
643.833	0.0272844
643.968	0.0274675
644.103	0.0275896
644.237	0.0274675
644.372	0.026674
644.507	0.0271623
644.642	0.0275896
644.777	0.0275896
644.912	0.0284441
645.047	0.0276506
645.182	0.0272844
645.317	0.0271623
645.452	0.0275285
645.587	0.0280168
645.722	0.0271013
645.857	0.028322
645.992	0.0274065
646.127	0.0274675
646.262	0.0275896
646.397	0.0275896
646.532	0.0271623
646.667	0.0283831
646.802	0.026674
646.937	0.0277727
647.072	0.0281389
647.207	0.0271013
647.342	0.0274675
647.477	0.0273454
647.612	0.0280168
647.747	0.0283831
647.882	0.0272233
648.017	0.0270402
648.152	0.0274065
648.287	0.0277117
648.422	0.0272233
648.557	0.0277727
648.692	0.0285052
648.827	0.0275896
648.962	0.0279558
649.097	0.0278337
649.232	0.0277727
649.367	0.0275285
649.502	0.0273454
649.637	0.0277727
649.772	0.0277117
649.906	0.0272233
650.041	0.0274065
650.176	0.0273454
650.311	0.0275285
650.446	0.0282
650.581	0.0278337
650.716	0.0270402
650.851	0.0277117
650.986	0.0276506
651.121	0.0275285
651.256	0.0274675
651.391	0.0287493
651.526	0.0270402
651.661	0.0270402
651.796	0.0281389
651.931	0.0281389
652.066	0.0269792
652.201	0.0275285
652.336	0.0272844
652.471	0.0272233
652.606	0.0277117
652.741	0.0265519
652.876	0.026674
653.011	0.0273454
653.146	0.0271013
653.281	0.0275896
653.415	0.0271013
653.55	0.0273454
653.685	0.0269792
653.82	0.0277727
653.955	0.0274065
654.09	0.0274675
654.225	0.0278948
654.36	0.0280168
654.495	0.0270402
654.63	0.0270402
654.765	0.0277117
654.9	0.0269181
655.035	0.0280168
655.17	0.0267961
655.305	0.0277117
655.44	0.0280779
655.575	0.0274675
655.71	0.0279558
655.845	0.0272233
655.98	0.0277117
656.115	0.0269792
656.25	0.028322
656.384	0.0274675
656.519	0.0271623
656.654	0.0271623
656.789	0.0274675
656.924	0.0271623
657.059	0.0267961
657.194	0.0270402
657.329	0.0267961
657.464	0.028261
657.599	0.0278337
657.734	0.0273454
657.869	0.0274675
658.004	0.0270402
658.139	0.0277727
658.274	0.0273454
658.409	0.0276506
658.544	0.0272233
658.679	0.0279558
658.813	0.0275896
658.948	0.0277117
659.083	0.0269181
659.218	0.0276506
659.353	0.0277727
659.488	0.026674
659.623	0.0271013
659.758	0.0278337
659.893	0.0282
660.028	0.0277727
660.163	0.0271623
660.298	0.0274675
660.433	0.0277727
660.568	0.0277117
660.703	0.026735
660.838	0.0285662
660.972	0.0273454
661.107	0.0274675
661.242	0.0277117
661.377	0.0280779
661.512	0.0277117
661.647	0.0272233
661.782	0.0275285
661.917	0.0273454
662.052	0.0269181
662.187	0.0272233
662.322	0.026674
662.457	0.0283831
662.592	0.0278948
662.727	0.0271623
662.862	0.0267961
662.996	0.0274675
663.131	0.0276506
663.266	0.0274065
663.401	0.0272233
663.536	0.0278337
663.671	0.026735
663.806	0.0276506
663.941	0.0267961
664.076	0.0267961
664.211	0.0268571
664.346	0.026735
664.481	0.0281389
664.616	0.0278337
664.75	0.0269792
664.885	0.0267961
665.02	0.0274065
665.155	0.0274065
665.29	0.0278948
665.425	0.0286272
665.56	0.0270402
665.695	0.0269792
665.83	0.0271623
665.965	0.026735
666.1	0.0270402
666.235	0.0272233
666.37	0.0272233
666.504	0.0276506
666.639	0.0275896
666.774	0.0269181
666.909	0.0271623
667.044	0.0270402
667.179	0.0271013
667.314	0.0272233
667.449	0.0273454
667.584	0.0276506
667.719	0.0278337
667.854	0.0275285
667.989	0.0273454
668.123	0.0269792
668.258	0.0276506
668.393	0.028261
668.528	0.0282
668.663	0.0275285
668.798	0.0271013
668.933	0.0274675
669.068	0.0277117
669.203	0.0272233
669.338	0.0275285
669.473	0.0280779
669.607	0.0272844
669.742	0.0276506
669.877	0.0277117
670.012	0.0271013
670.147	0.0271623
670.282	0.0269792
670.417	0.0278337
670.552	0.0278337
670.687	0.0277727
670.822	0.0276506
670.957	0.0278948
671.091	0.0270402
671.226	0.0272844
671.361	0.0267961
671.496	0.0268571
671.631	0.026735
671.766	0.0271623
671.901	0.0270402
672.036	0.0274675
672.171	0.0269792
672.306	0.0258194
672.44	0.0282
672.575	0.0269792
672.71	0.0275896
672.845	0.0278337
672.98	0.0279558
673.115	0.0275896
673.25	0.028322
673.385	0.0269181
673.52	0.0271623
673.655	0.0276506
673.789	0.0272844
673.924	0.0272844
674.059	0.0274065
674.194	0.0264298
674.329	0.0273454
674.464	0.0269181
