Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0292522
617.773	0.0293168
617.908	0.0292522
618.043	0.0291231
618.178	0.0291877
618.313	0.0292522
618.448	0.0284773
618.583	0.0288002
618.718	0.0293168
618.853	0.0288002
618.988	0.0300271
619.123	0.0291877
619.258	0.029446
619.394	0.0288002
619.529	0.0286065
619.664	0.0291877
619.799	0.0286065
619.934	0.0290585
620.069	0.0295105
620.204	0.0297688
620.339	0.0291231
620.474	0.0289294
620.609	0.0293168
620.744	0.0289939
620.879	0.0284773
621.014	0.0284128
621.149	0.0298334
621.284	0.0281545
621.419	0.0289939
621.554	0.029446
621.689	0.0295751
621.825	0.0289939
621.96	0.0306729
622.095	0.0297688
622.23	0.0288002
622.365	0.0293168
622.5	0.0290585
622.635	0.0295105
622.77	0.0287356
622.905	0.0286711
623.04	0.0293814
623.175	0.0295105
623.31	0.0293814
623.445	0.0288648
623.58	0.029898
623.715	0.0293814
623.85	0.0302854
623.985	0.0293168
624.12	0.0291877
624.255	0.0284773
624.39	0.0286711
624.525	0.0302854
624.661	0.0293168
624.796	0.0291877
624.931	0.0284773
625.066	0.0288648
625.201	0.029898
625.336	0.0286065
625.471	0.0291231
625.606	0.029898
625.741	0.028219
625.876	0.0291231
626.011	0.0292522
626.146	0.0284773
626.281	0.0297688
626.416	0.0292522
626.551	0.0284128
626.686	0.0292522
626.821	0.0281545
626.956	0.0288648
627.091	0.0295751
627.226	0.0292522
627.361	0.0286711
627.496	0.0292522
627.631	0.0289939
627.766	0.0300271
627.901	0.0297042
628.036	0.0295751
628.171	0.0301563
628.307	0.0282836
628.442	0.0289294
628.577	0.0296397
628.712	0.029446
628.847	0.0291877
628.982	0.0291877
629.117	0.0293168
629.252	0.0291231
629.387	0.0291877
629.522	0.0295105
629.657	0.0286711
629.792	0.0288648
629.927	0.029446
630.062	0.0289939
630.197	0.0288002
630.332	0.0284128
630.467	0.0289294
630.602	0.0295751
630.737	0.029446
630.872	0.0289939
631.007	0.0297042
631.142	0.0289939
631.277	0.0292522
631.412	0.0293168
631.547	0.0288648
631.682	0.0287356
631.817	0.0289294
631.952	0.0292522
632.087	0.0295751
632.222	0.0293168
632.357	0.0296397
632.492	0.0284128
632.627	0.0291231
632.762	0.0285419
632.897	0.0297688
633.032	0.0295751
633.167	0.029446
