Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.054407
617.773	0.0535606
617.908	0.053077
618.043	0.054407
618.178	0.054407
618.313	0.0548906
618.448	0.0559787
618.583	0.0533188
618.718	0.054407
618.853	0.0554951
618.988	0.0550115
619.123	0.0534397
619.258	0.0552533
619.394	0.054407
619.529	0.0541652
619.664	0.0554951
619.799	0.0531979
619.934	0.0551324
620.069	0.054407
620.204	0.0528352
620.339	0.054407
620.474	0.0535606
620.609	0.055616
620.744	0.0535606
620.879	0.0536815
621.014	0.0550115
621.149	0.0540443
621.284	0.0531979
621.419	0.0536815
621.554	0.0554951
621.689	0.0541652
621.825	0.0538024
621.96	0.0551324
622.095	0.0554951
622.23	0.0538024
622.365	0.0541652
622.5	0.0536815
622.635	0.0548906
622.77	0.0551324
622.905	0.0547697
623.04	0.0541652
623.175	0.054407
623.31	0.0546488
623.445	0.0540443
623.58	0.0542861
623.715	0.0534397
623.85	0.054407
623.985	0.0540443
624.12	0.054407
624.255	0.0525934
624.39	0.055616
624.525	0.0550115
624.661	0.055616
624.796	0.0535606
624.931	0.0551324
625.066	0.0545279
625.201	0.0552533
625.336	0.0542861
625.471	0.0558578
625.606	0.0535606
625.741	0.0534397
625.876	0.0550115
626.011	0.0554951
626.146	0.0545279
626.281	0.0551324
626.416	0.0539233
626.551	0.0538024
626.686	0.053077
626.821	0.0538024
626.956	0.054407
627.091	0.0552533
627.226	0.0550115
627.361	0.0550115
627.496	0.0547697
627.631	0.0560996
627.766	0.0550115
627.901	0.0554951
628.036	0.0552533
628.171	0.0528352
628.307	0.054407
628.442	0.0558578
628.577	0.0541652
628.712	0.0545279
628.847	0.0554951
628.982	0.0552533
629.117	0.0527143
629.252	0.0554951
629.387	0.0525934
629.522	0.0538024
629.657	0.055616
629.792	0.0534397
629.927	0.0553742
630.062	0.0548906
630.197	0.054407
630.332	0.0553742
630.467	0.0547697
630.602	0.0546488
630.737	0.0545279
630.872	0.0559787
631.007	0.0541652
631.142	0.0553742
631.277	0.0531979
631.412	0.0547697
631.547	0.0542861
631.682	0.0525934
631.817	0.054407
631.952	0.0531979
632.087	0.0533188
632.222	0.0576714
632.357	0.0558578
632.492	0.0533188
632.627	0.0564623
632.762	0.0540443
632.897	0.0554951
633.032	0.0527143
633.167	0.0546488
633.302	0.054407
633.437	0.0541652
633.572	0.0547697
633.707	0.0548906
633.842	0.0545279
633.978	0.054407
634.113	0.0535606
634.248	0.053077
634.383	0.0541652
634.518	0.0539233
634.653	0.0548906
634.788	0.0536815
634.923	0.0554951
635.058	0.0541652
635.193	0.0554951
635.328	0.0542861
635.463	0.0547697
635.598	0.0548906
635.733	0.0547697
635.868	0.0542861
636.003	0.0545279
636.138	0.0558578
636.273	0.0545279
636.408	0.0542861
636.543	0.0528352
636.678	0.0539233
636.813	0.0554951
636.948	0.0535606
637.083	0.0559787
637.218	0.0548906
637.353	0.0539233
637.488	0.0533188
637.623	0.0541652
637.758	0.0548906
637.893	0.0547697
638.028	0.0542861
638.163	0.0534397
638.298	0.0560996
638.433	0.0539233
638.568	0.0560996
638.703	0.0541652
638.838	0.0536815
638.973	0.0547697
639.108	0.0558578
639.243	0.0552533
639.378	0.0564623
639.513	0.0539233
639.648	0.0548906
639.783	0.0552533
639.918	0.0540443
640.053	0.0553742
640.188	0.0539233
640.323	0.0548906
640.458	0.0538024
640.593	0.0565832
640.728	0.0551324
640.863	0.0545279
640.998	0.0563414
641.133	0.0548906
641.268	0.0560996
641.403	0.0546488
641.538	0.0539233
641.673	0.0536815
641.808	0.0538024
641.943	0.0554951
642.078	0.0538024
642.213	0.0546488
642.348	0.0542861
642.483	0.0533188
642.618	0.0536815
642.753	0.0550115
642.888	0.0547697
643.023	0.0542861
643.158	0.0547697
643.293	0.0558578
643.428	0.0554951
643.563	0.0559787
643.698	0.054407
643.833	0.0547697
643.968	0.0564623
644.103	0.0539233
644.237	0.0552533
644.372	0.055616
644.507	0.0570669
644.642	0.0551324
644.777	0.0538024
644.912	0.0553742
645.047	0.0525934
645.182	0.0533188
645.317	0.0548906
645.452	0.0551324
645.587	0.0546488
645.722	0.0548906
645.857	0.0539233
645.992	0.054407
646.127	0.0550115
646.262	0.0568251
646.397	0.0541652
646.532	0.0546488
646.667	0.0552533
646.802	0.0538024
646.937	0.0554951
647.072	0.0545279
647.207	0.0548906
647.342	0.0553742
647.477	0.0531979
647.612	0.0536815
647.747	0.0547697
647.882	0.0562205
648.017	0.0541652
648.152	0.0560996
648.287	0.0541652
648.422	0.0551324
648.557	0.0559787
648.692	0.0557369
648.827	0.0550115
648.962	0.0558578
649.097	0.0538024
649.232	0.0540443
649.367	0.0539233
649.502	0.054407
649.637	0.055616
649.772	0.0550115
649.906	0.0557369
650.041	0.0571878
650.176	0.0542861
650.311	0.0524725
650.446	0.0545279
650.581	0.0550115
650.716	0.0547697
650.851	0.0542861
650.986	0.0529561
651.121	0.0545279
651.256	0.0542861
651.391	0.0541652
651.526	0.0548906
651.661	0.0550115
651.796	0.053077
651.931	0.0536815
652.066	0.0559787
652.201	0.0539233
652.336	0.0540443
652.471	0.0536815
652.606	0.054407
652.741	0.0552533
652.876	0.0542861
653.011	0.0550115
653.146	0.0546488
653.281	0.0548906
653.415	0.0545279
653.55	0.0558578
653.685	0.0562205
653.82	0.0565832
653.955	0.0534397
654.09	0.0554951
654.225	0.0545279
654.36	0.0545279
654.495	0.054407
654.63	0.0545279
654.765	0.0548906
654.9	0.0570669
655.035	0.0541652
655.17	0.0552533
655.305	0.0546488
655.44	0.0534397
655.575	0.0531979
655.71	0.0547697
655.845	0.0545279
655.98	0.0546488
656.115	0.0542861
656.25	0.0552533
656.384	0.0540443
656.519	0.0539233
656.654	0.0550115
656.789	0.0535606
656.924	0.0540443
657.059	0.0548906
657.194	0.0542861
657.329	0.0539233
657.464	0.0565832
657.599	0.0536815
657.734	0.0539233
657.869	0.0547697
658.004	0.0552533
658.139	0.054407
658.274	0.0545279
658.409	0.0554951
658.544	0.0541652
658.679	0.0550115
658.813	0.0546488
658.948	0.0548906
659.083	0.0557369
659.218	0.0535606
659.353	0.0553742
659.488	0.0553742
659.623	0.054407
659.758	0.0538024
659.893	0.0528352
660.028	0.0539233
660.163	0.0548906
660.298	0.0563414
660.433	0.0542861
660.568	0.0542861
660.703	0.0550115
660.838	0.0534397
660.972	0.0550115
661.107	0.0550115
661.242	0.0546488
661.377	0.0552533
661.512	0.053077
661.647	0.0527143
661.782	0.0539233
661.917	0.0539233
662.052	0.0560996
662.187	0.0562205
662.322	0.0565832
662.457	0.0558578
662.592	0.0545279
662.727	0.0548906
662.862	0.0559787
662.996	0.0547697
663.131	0.0558578
663.266	0.0548906
663.401	0.0550115
663.536	0.0536815
663.671	0.0533188
663.806	0.0533188
663.941	0.0541652
664.076	0.0548906
664.211	0.0558578
664.346	0.0539233
664.481	0.0539233
664.616	0.0546488
664.75	0.0547697
664.885	0.0553742
665.02	0.0546488
665.155	0.0540443
665.29	0.0540443
665.425	0.0539233
665.56	0.0550115
665.695	0.0529561
665.83	0.0550115
665.965	0.0540443
666.1	0.0548906
666.235	0.0528352
666.37	0.0525934
666.504	0.0554951
666.639	0.054407
666.774	0.0545279
666.909	0.0545279
667.044	0.0557369
667.179	0.0533188
667.314	0.0554951
667.449	0.0560996
667.584	0.0546488
667.719	0.0542861
667.854	0.0541652
667.989	0.056946
668.123	0.0557369
668.258	0.0541652
668.393	0.0546488
668.528	0.0545279
668.663	0.0551324
668.798	0.0553742
668.933	0.0560996
669.068	0.0545279
669.203	0.0558578
669.338	0.053077
669.473	0.0548906
669.607	0.054407
669.742	0.0547697
669.877	0.0551324
670.012	0.0536815
670.147	0.0552533
670.282	0.0539233
670.417	0.0512635
670.552	0.0547697
670.687	0.0554951
670.822	0.0541652
670.957	0.0550115
671.091	0.0545279
671.226	0.0531979
671.361	0.0547697
671.496	0.054407
671.631	0.0558578
671.766	0.054407
671.901	0.0550115
672.036	0.0545279
672.171	0.056946
672.306	0.0557369
672.44	0.0531979
672.575	0.0539233
672.71	0.0540443
672.845	0.0553742
672.98	0.0550115
673.115	0.0554951
673.25	0.053077
673.385	0.0553742
673.52	0.0551324
673.655	0.0524725
673.789	0.0552533
673.924	0.0536815
674.059	0.0554951
674.194	0.0523516
674.329	0.0557369
674.464	0.0546488
674.599	0.0542861
674.734	0.0538024
674.869	0.0562205
675.003	0.0542861
675.138	0.0552533
675.273	0.0541652
675.408	0.0545279
675.543	0.0546488
675.678	0.0525934
675.813	0.0552533
675.948	0.0563414
676.083	0.0559787
676.217	0.0541652
676.352	0.0527143
676.487	0.0548906
676.622	0.0562205
676.757	0.0531979
676.892	0.0548906
677.027	0.0541652
677.162	0.0541652
677.297	0.0552533
677.431	0.0539233
677.566	0.0562205
677.701	0.0546488
677.836	0.0536815
677.971	0.0542861
678.106	0.0545279
678.241	0.0534397
678.376	0.0542861
678.511	0.054407
678.645	0.0540443
678.78	0.0547697
678.915	0.0545279
679.05	0.0540443
679.185	0.054407
679.32	0.0551324
679.455	0.0546488
679.59	0.0525934
679.724	0.0547697
679.859	0.0538024
679.994	0.0552533
680.129	0.0546488
680.264	0.0541652
680.399	0.0535606
680.534	0.0546488
680.669	0.0573087
680.803	0.0552533
680.938	0.0550115
681.073	0.0554951
681.208	0.0546488
681.343	0.0547697
681.478	0.0539233
681.613	0.0540443
681.748	0.0563414
681.882	0.0546488
682.017	0.0533188
682.152	0.0559787
682.287	0.0536815
682.422	0.055616
682.557	0.0551324
682.692	0.0519889
682.827	0.0546488
682.961	0.0540443
683.096	0.054407
683.231	0.0564623
683.366	0.0524725
683.501	0.0557369
683.636	0.0535606
683.771	0.0548906
683.906	0.0539233
684.04	0.0553742
684.175	0.0531979
684.31	0.0542861
684.445	0.0540443
684.58	0.0539233
684.715	0.0533188
684.85	0.0570669
684.984	0.0548906
685.119	0.0535606
685.254	0.0557369
685.389	0.0554951
685.524	0.0534397
685.659	0.0553742
685.794	0.0554951
685.928	0.0552533
686.063	0.0542861
686.198	0.0542861
686.333	0.054407
686.468	0.0542861
686.603	0.0550115
686.738	0.0554951
686.872	0.0551324
687.007	0.0540443
687.142	0.0536815
687.277	0.0546488
687.412	0.0542861
687.547	0.0550115
687.682	0.054407
687.816	0.0534397
687.951	0.0531979
688.086	0.0547697
688.221	0.0535606
688.356	0.0551324
688.491	0.0568251
688.626	0.0535606
688.76	0.0550115
688.895	0.0538024
689.03	0.0539233
689.165	0.0539233
689.3	0.0548906
689.435	0.0535606
689.57	0.0538024
689.704	0.0541652
689.839	0.055616
689.974	0.054407
690.109	0.0553742
690.244	0.0542861
690.379	0.0546488
690.513	0.0522307
690.648	0.0546488
690.783	0.0550115
690.918	0.0551324
691.053	0.0553742
691.188	0.0547697
691.323	0.0557369
691.457	0.0550115
691.592	0.0553742
691.727	0.0531979
691.862	0.0550115
691.997	0.0547697
692.132	0.0552533
692.266	0.0548906
692.401	0.0547697
692.536	0.0535606
692.671	0.0562205
692.806	0.0525934
692.941	0.0535606
693.075	0.0550115
693.21	0.0539233
693.345	0.0542861
693.48	0.054407
693.615	0.0542861
693.75	0.0531979
693.885	0.0554951
694.019	0.0558578
694.154	0.0553742
694.289	0.0550115
694.424	0.0538024
694.559	0.0539233
694.694	0.054407
694.828	0.0545279
694.963	0.0535606
695.098	0.0522307
695.233	0.0551324
695.368	0.0545279
695.503	0.0529561
695.637	0.0562205
695.772	0.0547697
695.907	0.0539233
696.042	0.0558578
696.177	0.053077
696.312	0.054407
696.446	0.0536815
696.581	0.0540443
696.716	0.0538024
696.851	0.0542861
696.986	0.0546488
697.12	0.0539233
697.255	0.0534397
697.39	0.0531979
697.525	0.054407
697.66	0.0538024
697.795	0.0552533
697.929	0.0539233
698.064	0.0550115
698.199	0.0567041
698.334	0.0534397
698.469	0.0528352
698.604	0.0567041
698.738	0.0531979
698.873	0.0548906
699.008	0.0540443
699.143	0.0540443
699.278	0.0552533
699.412	0.0551324
699.547	0.0548906
699.682	0.0547697
699.817	0.0553742
699.952	0.0552533
700.087	0.0552533
700.221	0.0559787
700.356	0.0546488
700.491	0.0535606
700.626	0.0548906
700.761	0.0540443
700.895	0.054407
701.03	0.0528352
701.165	0.0539233
701.3	0.0557369
701.435	0.0567041
701.57	0.0534397
701.704	0.0542861
701.839	0.0529561
701.974	0.0553742
702.109	0.0541652
702.244	0.0558578
702.378	0.0567041
702.513	0.0546488
702.648	0.0560996
702.783	0.0525934
702.918	0.0541652
703.052	0.0553742
703.187	0.0558578
703.322	0.0545279
703.457	0.0541652
703.592	0.0545279
703.727	0.0565832
