Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0278337
617.773	0.0277727
617.908	0.0274675
618.043	0.0267961
618.178	0.0271013
618.313	0.0271623
618.448	0.0271623
618.583	0.0272233
618.718	0.028261
618.853	0.0275896
618.988	0.0274675
619.123	0.0279558
619.258	0.028322
619.394	0.0275896
619.529	0.0278337
619.664	0.0280168
619.799	0.0269181
619.934	0.0275285
620.069	0.0274065
620.204	0.0268571
620.339	0.026613
620.474	0.0269181
620.609	0.0276506
620.744	0.0277727
620.879	0.0276506
621.014	0.0269792
621.149	0.0280779
621.284	0.0277117
621.419	0.0274675
621.554	0.0275285
621.689	0.0275285
621.825	0.0276506
621.96	0.0274675
622.095	0.0278948
622.23	0.0274065
622.365	0.0278948
622.5	0.0275896
622.635	0.0270402
622.77	0.0274675
622.905	0.0277727
623.04	0.0268571
623.175	0.0269792
623.31	0.0272844
623.445	0.0268571
623.58	0.0277117
623.715	0.0280779
623.85	0.0277117
623.985	0.0280779
624.12	0.0274065
624.255	0.0274065
624.39	0.0274065
624.525	0.0278948
624.661	0.0277727
624.796	0.0277727
624.931	0.0280168
625.066	0.0273454
625.201	0.0271623
625.336	0.0277117
625.471	0.0277117
625.606	0.0274065
625.741	0.0276506
625.876	0.0269181
626.011	0.0278337
626.146	0.0264909
626.281	0.026613
626.416	0.0271623
626.551	0.0272233
626.686	0.0280779
626.821	0.0286883
626.956	0.0275896
627.091	0.0280168
627.226	0.0273454
627.361	0.0274065
627.496	0.0271623
627.631	0.026613
627.766	0.0274065
627.901	0.0275285
628.036	0.0275285
628.171	0.0265519
628.307	0.0272233
628.442	0.0275285
628.577	0.0275285
628.712	0.0277117
628.847	0.0275285
628.982	0.0282
629.117	0.0268571
629.252	0.0282
629.387	0.0275285
629.522	0.0271623
629.657	0.0274065
629.792	0.0275896
629.927	0.0285052
630.062	0.0272233
630.197	0.0273454
630.332	0.0276506
630.467	0.0274675
630.602	0.0273454
630.737	0.0275285
630.872	0.0273454
631.007	0.0278948
631.142	0.0269181
631.277	0.0277727
631.412	0.0277727
631.547	0.0278337
631.682	0.0279558
631.817	0.0271013
631.952	0.0275896
632.087	0.0275896
632.222	0.0272844
632.357	0.0275896
632.492	0.0267961
632.627	0.028322
632.762	0.0278337
632.897	0.0272844
633.032	0.0269792
633.167	0.0277117
633.302	0.0268571
633.437	0.0278948
633.572	0.0279558
633.707	0.0274675
633.842	0.0276506
633.978	0.0272233
634.113	0.0270402
634.248	0.0274675
634.383	0.0269792
634.518	0.0279558
634.653	0.0272233
634.788	0.0269181
634.923	0.0277117
635.058	0.0268571
635.193	0.0274065
635.328	0.0280779
635.463	0.0271013
635.598	0.0275896
635.733	0.0277117
635.868	0.0273454
636.003	0.0278948
636.138	0.0272233
636.273	0.0281389
636.408	0.0269181
636.543	0.0279558
636.678	0.0274675
636.813	0.0272233
636.948	0.0268571
637.083	0.0272844
637.218	0.0280779
637.353	0.0273454
637.488	0.0277117
637.623	0.0275896
637.758	0.0274675
637.893	0.0272233
638.028	0.0269181
638.163	0.0277727
638.298	0.0278337
638.433	0.0270402
638.568	0.0281389
638.703	0.0275896
638.838	0.0281389
638.973	0.0280168
639.108	0.0275285
639.243	0.0270402
639.378	0.0276506
639.513	0.0288714
639.648	0.0280168
639.783	0.0272844
639.918	0.0282
640.053	0.0272844
640.188	0.0275896
640.323	0.0281389
640.458	0.0272844
640.593	0.0275896
640.728	0.0274675
640.863	0.0288104
640.998	0.028322
641.133	0.0271623
641.268	0.0278948
641.403	0.0281389
641.538	0.0271623
641.673	0.0274065
641.808	0.0271013
641.943	0.0272844
642.078	0.028261
642.213	0.0281389
642.348	0.0280779
642.483	0.0286883
642.618	0.026674
642.753	0.0272233
642.888	0.0281389
643.023	0.0275285
643.158	0.026735
643.293	0.0274065
643.428	0.0281389
643.563	0.0268571
643.698	0.0274065
643.833	0.0280168
643.968	0.0280168
644.103	0.0277117
644.237	0.0269792
644.372	0.0284441
644.507	0.0279558
644.642	0.0277727
644.777	0.0274675
644.912	0.0272233
645.047	0.026674
645.182	0.0269792
645.317	0.0272233
645.452	0.0276506
645.587	0.0274065
645.722	0.028261
645.857	0.0276506
645.992	0.0277117
646.127	0.0278948
646.262	0.028322
646.397	0.026674
646.532	0.0272844
646.667	0.0275896
646.802	0.028322
646.937	0.0280168
