Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.026936
617.773	0.0274258
617.908	0.0279767
618.043	0.028038
618.178	0.0279767
618.313	0.0276094
618.448	0.0276706
618.583	0.0271197
618.718	0.0275482
618.853	0.0278543
618.988	0.0268136
619.123	0.0275482
619.258	0.0276706
619.394	0.0278543
619.529	0.0282216
619.664	0.0276094
619.799	0.0275482
619.934	0.0279155
620.069	0.027487
620.204	0.0274258
620.339	0.0277319
620.474	0.0267524
620.609	0.0279155
620.744	0.0274258
620.879	0.0279155
621.014	0.0279155
621.149	0.0284665
621.284	0.027487
621.419	0.0282828
621.554	0.0276706
621.689	0.0268136
621.825	0.0272421
621.96	0.028038
622.095	0.0279767
622.23	0.0269972
622.365	0.0274258
622.5	0.0280992
622.635	0.0274258
622.77	0.0276706
622.905	0.0276094
623.04	0.0277931
623.175	0.0273033
623.31	0.0262626
623.445	0.0265075
623.58	0.0276706
623.715	0.0281604
623.85	0.0282216
623.985	0.0266299
624.12	0.0281604
624.255	0.0282828
624.39	0.0274258
624.525	0.0276706
624.661	0.0269972
624.796	0.028038
624.931	0.0277931
625.066	0.0277319
625.201	0.0277319
625.336	0.0277931
625.471	0.0278543
625.606	0.0284665
625.741	0.0271809
625.876	0.0280992
626.011	0.028038
626.146	0.0270585
626.281	0.0276094
626.416	0.0282828
626.551	0.0284665
626.686	0.0278543
626.821	0.0273033
626.956	0.0273646
627.091	0.0277931
627.226	0.0279155
627.361	0.0271197
627.496	0.0269972
627.631	0.0282216
627.766	0.0273646
627.901	0.0272421
628.036	0.0274258
628.171	0.0274258
628.307	0.0273033
628.442	0.028038
628.577	0.0274258
628.712	0.027487
628.847	0.026936
628.982	0.0282828
629.117	0.0284665
629.252	0.0276094
629.387	0.0277319
629.522	0.027487
629.657	0.028344
629.792	0.0277319
629.927	0.0272421
630.062	0.0279155
630.197	0.028344
630.332	0.0280992
630.467	0.0273646
630.602	0.0279155
630.737	0.0274258
630.872	0.0284053
631.007	0.0276094
631.142	0.0285889
631.277	0.0272421
631.412	0.0271809
631.547	0.0276094
631.682	0.0276706
631.817	0.028038
631.952	0.0277319
632.087	0.0273033
632.222	0.0273033
632.357	0.0277319
632.492	0.027487
632.627	0.0277319
632.762	0.0273646
632.897	0.0276706
633.032	0.0272421
633.167	0.0280992
633.302	0.0277931
633.437	0.027487
633.572	0.0278543
633.707	0.0279767
633.842	0.0271197
633.978	0.0282828
634.113	0.0287726
634.248	0.0269972
634.383	0.0280992
634.518	0.0273646
634.653	0.0279767
634.788	0.0278543
634.923	0.0274258
635.058	0.0280992
635.193	0.0273033
635.328	0.0275482
635.463	0.0276706
635.598	0.026936
635.733	0.0268136
635.868	0.0279155
636.003	0.0279155
636.138	0.0282828
636.273	0.0268748
636.408	0.0280992
636.543	0.0277931
636.678	0.0268136
636.813	0.0271809
636.948	0.0282216
637.083	0.027487
637.218	0.0273033
637.353	0.0287114
637.488	0.0272421
637.623	0.0274258
637.758	0.0276094
637.893	0.0273033
638.028	0.0279767
638.163	0.0275482
638.298	0.0286501
638.433	0.0269972
638.568	0.028038
638.703	0.0271197
638.838	0.0271809
638.973	0.0281604
639.108	0.0271809
639.243	0.0277319
639.378	0.0279767
639.513	0.0279767
639.648	0.028038
639.783	0.0280992
639.918	0.0276094
640.053	0.0278543
640.188	0.0272421
640.323	0.0271197
640.458	0.0274258
640.593	0.0276094
640.728	0.0271197
640.863	0.0271809
640.998	0.0277931
641.133	0.0273033
641.268	0.0274258
641.403	0.0282216
641.538	0.0279767
641.673	0.0280992
641.808	0.0273646
641.943	0.0280992
642.078	0.0277931
642.213	0.0280992
642.348	0.0261402
642.483	0.0282828
642.618	0.0285277
642.753	0.0271197
642.888	0.0282216
643.023	0.0272421
643.158	0.027487
643.293	0.0277931
643.428	0.0273646
643.563	0.0284053
643.698	0.0268136
643.833	0.0285889
643.968	0.0276094
644.103	0.0275482
644.237	0.0274258
644.372	0.028344
644.507	0.028038
644.642	0.0279155
644.777	0.0275482
644.912	0.0273646
645.047	0.0278543
645.182	0.0276706
645.317	0.0274258
645.452	0.0279767
645.587	0.0277319
645.722	0.027487
645.857	0.0277319
645.992	0.026936
646.127	0.0276706
646.262	0.0269972
646.397	0.0275482
646.532	0.0277931
646.667	0.0271809
646.802	0.0277319
646.937	0.0279155
647.072	0.0279767
647.207	0.0273033
647.342	0.0281604
647.477	0.0277931
647.612	0.0274258
647.747	0.0271197
647.882	0.0277931
648.017	0.027487
648.152	0.0277931
648.287	0.0269972
648.422	0.0270585
648.557	0.0277319
648.692	0.0277319
648.827	0.0273646
648.962	0.0271809
649.097	0.0271809
649.232	0.0270585
649.367	0.0280992
649.502	0.0271809
649.637	0.0273646
649.772	0.0277319
649.906	0.0277319
650.041	0.028038
650.176	0.0281604
650.311	0.0277319
650.446	0.0277931
650.581	0.0269972
650.716	0.0277931
650.851	0.0279767
650.986	0.0271809
651.121	0.0277319
651.256	0.027487
651.391	0.0270585
651.526	0.0273033
651.661	0.0275482
651.796	0.0282828
651.931	0.0273033
652.066	0.0276094
652.201	0.0277319
652.336	0.0281604
652.471	0.0277319
652.606	0.0271809
652.741	0.0273646
652.876	0.0271809
653.011	0.0281604
653.146	0.0273646
653.281	0.0280992
653.415	0.027487
653.55	0.0274258
653.685	0.0279155
653.82	0.0273646
653.955	0.0272421
654.09	0.0287726
654.225	0.0268748
654.36	0.0280992
654.495	0.0265687
654.63	0.0268136
654.765	0.0277319
654.9	0.0280992
655.035	0.028038
655.17	0.0274258
655.305	0.026936
655.44	0.0280992
655.575	0.0282828
655.71	0.028038
655.845	0.027487
655.98	0.0270585
656.115	0.0275482
656.25	0.0277319
656.384	0.0281604
656.519	0.0264463
656.654	0.0275482
656.789	0.0276706
656.924	0.0275482
657.059	0.0277319
657.194	0.0275482
657.329	0.0277319
657.464	0.0271809
657.599	0.0284665
657.734	0.0273033
657.869	0.0273033
658.004	0.0271809
658.139	0.0282216
658.274	0.026936
658.409	0.0277931
658.544	0.0269972
658.679	0.0277319
658.813	0.0277931
658.948	0.0287726
659.083	0.0272421
659.218	0.0279155
659.353	0.0271809
659.488	0.0271197
659.623	0.0275482
659.758	0.028038
659.893	0.0279767
660.028	0.0277931
660.163	0.0271809
660.298	0.027487
660.433	0.0266912
660.568	0.0273033
660.703	0.0264463
660.838	0.0277931
660.972	0.026936
661.107	0.0274258
661.242	0.028038
661.377	0.0278543
661.512	0.0271197
661.647	0.027487
661.782	0.0271809
661.917	0.0271197
662.052	0.0279767
662.187	0.0279767
662.322	0.0278543
662.457	0.0271197
662.592	0.0265075
662.727	0.028038
662.862	0.0277931
662.996	0.0273033
663.131	0.0266912
663.266	0.0280992
663.401	0.0276706
663.536	0.0276094
663.671	0.0270585
663.806	0.0273033
663.941	0.0275482
664.076	0.0264463
664.211	0.0272421
664.346	0.0279155
664.481	0.0273033
664.616	0.0278543
664.75	0.0276706
664.885	0.0279155
665.02	0.0269972
665.155	0.0276094
665.29	0.0271809
665.425	0.0273646
665.56	0.028038
665.695	0.0277931
665.83	0.0277319
665.965	0.0278543
666.1	0.0277931
666.235	0.0271197
666.37	0.0279767
666.504	0.027487
666.639	0.0272421
666.774	0.028895
666.909	0.0274258
667.044	0.0277931
667.179	0.0282216
667.314	0.0276706
667.449	0.0276706
667.584	0.0278543
667.719	0.0279155
667.854	0.0280992
667.989	0.0270585
668.123	0.0282216
668.258	0.0273033
668.393	0.0282216
668.528	0.0270585
668.663	0.0275482
668.798	0.0280992
668.933	0.0273033
669.068	0.0278543
669.203	0.0276706
669.338	0.0270585
669.473	0.0275482
669.607	0.0272421
669.742	0.0273646
669.877	0.0276706
670.012	0.0276706
670.147	0.0274258
670.282	0.0276706
670.417	0.028344
670.552	0.0268748
670.687	0.0276706
670.822	0.0272421
670.957	0.026936
671.091	0.0277319
671.226	0.028038
671.361	0.0281604
671.496	0.0280992
671.631	0.0276706
671.766	0.0280992
671.901	0.028344
672.036	0.0278543
672.171	0.0276706
672.306	0.0279155
672.44	0.0275482
672.575	0.0276706
672.71	0.0275482
672.845	0.0272421
672.98	0.028038
673.115	0.027487
673.25	0.0279155
673.385	0.027487
673.52	0.0275482
673.655	0.0271809
673.789	0.0281604
673.924	0.028038
674.059	0.0276706
674.194	0.0277319
674.329	0.0265687
674.464	0.0273033
674.599	0.0282216
674.734	0.0287114
674.869	0.0273033
675.003	0.028344
675.138	0.0269972
675.273	0.0281604
675.408	0.0284053
675.543	0.0271197
675.678	0.0272421
675.813	0.0282828
675.948	0.0273033
676.083	0.0275482
676.217	0.0284053
676.352	0.0277931
676.487	0.0276706
676.622	0.0277931
676.757	0.0274258
676.892	0.0278543
677.027	0.0273033
677.162	0.0270585
677.297	0.0277931
677.431	0.027487
677.566	0.0282828
677.701	0.027487
677.836	0.0277319
677.971	0.0277931
678.106	0.0266912
678.241	0.0279155
678.376	0.0276094
678.511	0.0280992
678.645	0.0263851
678.78	0.0273033
678.915	0.0269972
679.05	0.0277319
679.185	0.0276094
679.32	0.027487
679.455	0.0278543
679.59	0.0276706
679.724	0.028038
679.859	0.0276706
679.994	0.028038
680.129	0.0271197
680.264	0.0275482
680.399	0.0276706
680.534	0.0278543
680.669	0.0277931
680.803	0.0277319
680.938	0.0284053
681.073	0.0270585
681.208	0.0274258
681.343	0.0270585
