Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0409313
617.773	0.0414857
617.908	0.0415781
618.043	0.0416705
618.178	0.0421325
618.313	0.0419477
618.448	0.0418553
618.583	0.0418553
618.718	0.0419477
618.853	0.0428717
618.988	0.0407466
619.123	0.0414857
619.258	0.0410237
619.394	0.0420401
619.529	0.0411161
619.664	0.0423173
619.799	0.0426869
619.934	0.0422249
620.069	0.0425945
620.204	0.0405618
620.339	0.0404694
620.474	0.0412085
620.609	0.0404694
620.744	0.0417629
620.879	0.0423173
621.014	0.0418553
621.149	0.0419477
621.284	0.0418553
621.419	0.0430565
621.554	0.0412085
621.689	0.0424097
621.825	0.0409313
621.96	0.0407466
622.095	0.0416705
622.23	0.0419477
622.365	0.0410237
622.5	0.0419477
622.635	0.0425021
622.77	0.0422249
622.905	0.0425021
623.04	0.0424097
623.175	0.0419477
623.31	0.0417629
623.445	0.0407466
623.58	0.0416705
623.715	0.0400074
623.85	0.0425945
623.985	0.0411161
624.12	0.0417629
624.255	0.0420401
624.39	0.0427793
624.525	0.0422249
624.661	0.0425021
624.796	0.0417629
624.931	0.0430565
625.066	0.0421325
625.201	0.0406542
625.336	0.0416705
625.471	0.0418553
625.606	0.0418553
625.741	0.0418553
625.876	0.0397302
626.011	0.0413933
626.146	0.0416705
626.281	0.0426869
626.416	0.0411161
626.551	0.0423173
626.686	0.0407466
626.821	0.0422249
626.956	0.0421325
627.091	0.0413009
627.226	0.0417629
627.361	0.0415781
627.496	0.0416705
627.631	0.0426869
627.766	0.0418553
627.901	0.0423173
628.036	0.0426869
628.171	0.0425021
628.307	0.040839
628.442	0.0416705
628.577	0.0423173
628.712	0.0410237
628.847	0.0426869
628.982	0.0423173
629.117	0.0415781
629.252	0.0418553
629.387	0.040377
629.522	0.0420401
629.657	0.0418553
629.792	0.0411161
629.927	0.0416705
630.062	0.0427793
630.197	0.0425021
630.332	0.0409313
630.467	0.0412085
630.602	0.0425021
630.737	0.0413009
630.872	0.0413933
631.007	0.0416705
631.142	0.0400998
631.277	0.0415781
631.412	0.0425021
631.547	0.040839
631.682	0.0412085
631.817	0.0410237
631.952	0.0419477
632.087	0.0422249
632.222	0.0421325
632.357	0.0413933
632.492	0.0417629
632.627	0.0412085
632.762	0.0433336
632.897	0.0419477
633.032	0.0418553
633.167	0.0413009
633.302	0.0404694
633.437	0.0424097
633.572	0.0417629
633.707	0.0414857
633.842	0.0414857
633.978	0.0422249
634.113	0.0412085
634.248	0.0412085
634.383	0.0401922
634.518	0.0415781
634.653	0.0415781
634.788	0.0418553
634.923	0.0404694
635.058	0.0414857
635.193	0.0418553
635.328	0.0407466
635.463	0.0405618
635.598	0.0422249
635.733	0.0423173
635.868	0.0424097
636.003	0.0422249
636.138	0.0420401
636.273	0.0425945
636.408	0.0412085
636.543	0.0406542
636.678	0.0414857
636.813	0.0405618
636.948	0.0415781
637.083	0.0415781
637.218	0.0418553
637.353	0.0428717
637.488	0.0424097
637.623	0.0410237
637.758	0.0406542
637.893	0.0412085
638.028	0.0433336
638.163	0.0413933
638.298	0.0425021
638.433	0.0422249
638.568	0.0430565
638.703	0.0410237
638.838	0.0412085
638.973	0.0419477
639.108	0.0409313
639.243	0.0422249
639.378	0.0413009
639.513	0.0416705
