Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0280168
617.773	0.0274675
617.908	0.0273454
618.043	0.0280779
618.178	0.0273454
618.313	0.0278337
618.448	0.0274065
618.583	0.0282
618.718	0.0279558
618.853	0.0271013
618.988	0.0272844
619.123	0.0271013
619.258	0.0270402
619.394	0.0280168
619.529	0.0283831
619.664	0.0275285
619.799	0.0280168
619.934	0.0275285
620.069	0.0275285
620.204	0.026613
620.339	0.0282
620.474	0.0278337
620.609	0.0279558
620.744	0.0273454
620.879	0.0286883
621.014	0.028261
621.149	0.0277117
621.284	0.0274065
621.419	0.0279558
621.554	0.0269792
621.689	0.0284441
621.825	0.0277727
621.96	0.0276506
622.095	0.0274065
622.23	0.0269792
622.365	0.028261
622.5	0.0280168
622.635	0.0277727
622.77	0.0277117
622.905	0.0275285
623.04	0.0269792
623.175	0.0277117
623.31	0.0280168
623.445	0.0275896
623.58	0.0282
623.715	0.0277117
623.85	0.0277117
623.985	0.0280168
624.12	0.0280168
624.255	0.0274675
624.39	0.0284441
624.525	0.0272844
624.661	0.0277117
624.796	0.0277727
624.931	0.0277727
625.066	0.0275285
625.201	0.0277117
625.336	0.0280168
625.471	0.0278337
625.606	0.0275896
625.741	0.0278948
625.876	0.0280779
626.011	0.0280779
626.146	0.0286272
626.281	0.0283831
626.416	0.0274065
626.551	0.0278948
626.686	0.0271013
626.821	0.0274675
626.956	0.0276506
627.091	0.0285052
627.226	0.0280779
627.361	0.0275285
627.496	0.0276506
627.631	0.028261
627.766	0.0274675
627.901	0.0278337
628.036	0.0271623
628.171	0.0272233
628.307	0.0278948
628.442	0.0272844
628.577	0.0275896
628.712	0.0283831
628.847	0.0276506
628.982	0.0267961
629.117	0.0268571
629.252	0.0275896
629.387	0.0273454
629.522	0.0280168
629.657	0.0278337
629.792	0.0277727
629.927	0.0277727
630.062	0.0279558
630.197	0.0281389
630.332	0.0273454
630.467	0.0290545
630.602	0.0272844
630.737	0.0277117
630.872	0.0278337
631.007	0.0271623
631.142	0.0276506
631.277	0.0274675
631.412	0.0275285
631.547	0.0275285
631.682	0.0275285
631.817	0.0269792
631.952	0.0273454
632.087	0.0272844
632.222	0.0281389
632.357	0.0275285
632.492	0.0280779
632.627	0.0277117
632.762	0.0275896
632.897	0.0277727
633.032	0.0278337
633.167	0.028261
633.302	0.0270402
633.437	0.0273454
633.572	0.0277727
633.707	0.0272844
633.842	0.0270402
633.978	0.0273454
634.113	0.028322
634.248	0.0275285
634.383	0.0274675
634.518	0.0269792
634.653	0.0277727
634.788	0.0281389
634.923	0.0280168
635.058	0.0268571
635.193	0.0278948
635.328	0.028261
635.463	0.0276506
635.598	0.0280779
635.733	0.028261
635.868	0.0270402
636.003	0.0272844
636.138	0.0276506
636.273	0.028322
636.408	0.0277117
636.543	0.0265519
636.678	0.0270402
636.813	0.0277727
636.948	0.0273454
637.083	0.0277727
637.218	0.0277117
637.353	0.0278948
637.488	0.0273454
637.623	0.0277117
637.758	0.0273454
637.893	0.0272233
638.028	0.0270402
638.163	0.0277727
638.298	0.0278948
638.433	0.0274675
638.568	0.0278948
638.703	0.0286272
638.838	0.0269181
638.973	0.0280168
639.108	0.0277727
639.243	0.0274675
639.378	0.0277117
639.513	0.0281389
639.648	0.0272844
639.783	0.028261
639.918	0.028261
640.053	0.0281389
640.188	0.0271623
640.323	0.0278337
640.458	0.0278337
640.593	0.0274065
640.728	0.0275896
640.863	0.0280779
640.998	0.0280779
641.133	0.0273454
641.268	0.0272233
641.403	0.0276506
641.538	0.0275896
641.673	0.0274675
641.808	0.0281389
641.943	0.0274065
642.078	0.0277727
642.213	0.0276506
642.348	0.0277727
642.483	0.0279558
642.618	0.0271623
642.753	0.0283831
642.888	0.0274675
643.023	0.0274065
643.158	0.0275896
643.293	0.0272233
643.428	0.0280168
643.563	0.0271013
643.698	0.0270402
643.833	0.0277727
643.968	0.0274065
644.103	0.026735
644.237	0.0271623
644.372	0.0277727
644.507	0.0281389
644.642	0.0275896
644.777	0.0272233
644.912	0.0275896
645.047	0.0274675
645.182	0.0267961
645.317	0.0277727
645.452	0.0271623
645.587	0.0281389
645.722	0.0278337
645.857	0.0275285
