Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0269792
617.773	0.0282
617.908	0.0275896
618.043	0.0277727
618.178	0.0271013
618.313	0.0278337
618.448	0.0269792
618.583	0.0270402
618.718	0.0276506
618.853	0.0278948
618.988	0.0286272
619.123	0.0277117
619.258	0.0277117
619.394	0.0282
619.529	0.0288104
619.664	0.0278948
619.799	0.0277727
619.934	0.0278337
620.069	0.0275896
620.204	0.028322
620.339	0.0288714
620.474	0.0275896
620.609	0.0276506
620.744	0.0270402
620.879	0.0270402
621.014	0.028261
621.149	0.0285662
621.284	0.0273454
621.419	0.0280168
621.554	0.0271623
621.689	0.0277117
621.825	0.0284441
621.96	0.0277117
622.095	0.0273454
622.23	0.0271013
622.365	0.0271623
622.5	0.0278948
622.635	0.0277117
622.77	0.0272233
622.905	0.0273454
623.04	0.0275285
623.175	0.0269181
623.31	0.0285052
623.445	0.0273454
623.58	0.0282
623.715	0.0269181
623.85	0.0277727
623.985	0.0274065
624.12	0.028322
624.255	0.0277727
624.39	0.0287493
624.525	0.0275896
624.661	0.0275285
624.796	0.0274675
624.931	0.0277117
625.066	0.028322
625.201	0.0277117
625.336	0.0273454
625.471	0.0280779
625.606	0.0277727
625.741	0.0275285
625.876	0.0277727
626.011	0.0286272
626.146	0.0280779
626.281	0.0274675
626.416	0.0279558
626.551	0.0277727
626.686	0.0275285
626.821	0.0276506
626.956	0.0272844
627.091	0.0274675
627.226	0.0268571
627.361	0.0279558
627.496	0.0267961
627.631	0.0279558
627.766	0.0278948
627.901	0.0278337
628.036	0.0267961
628.171	0.0278337
628.307	0.0285662
628.442	0.0275285
628.577	0.0277117
628.712	0.0280168
628.847	0.0280168
628.982	0.0280168
629.117	0.0274065
629.252	0.0281389
629.387	0.0272233
629.522	0.0273454
629.657	0.0286883
629.792	0.0277117
629.927	0.0272233
630.062	0.0270402
630.197	0.0280168
630.332	0.0271013
630.467	0.0277117
630.602	0.0278948
630.737	0.0275285
630.872	0.0279558
631.007	0.028261
631.142	0.0283831
631.277	0.0272844
631.412	0.026735
631.547	0.0277117
631.682	0.0282
631.817	0.0271013
631.952	0.0274065
632.087	0.0272844
632.222	0.0275285
632.357	0.0269792
632.492	0.0282
632.627	0.0271623
632.762	0.0275285
632.897	0.0279558
633.032	0.0284441
633.167	0.028322
633.302	0.0278948
633.437	0.0277727
633.572	0.0278948
633.707	0.0277117
633.842	0.0275896
633.978	0.0275285
634.113	0.0277727
634.248	0.0277117
634.383	0.0277727
634.518	0.028322
634.653	0.0271013
634.788	0.0272233
634.923	0.028322
635.058	0.0275285
635.193	0.0281389
635.328	0.0279558
635.463	0.0261857
635.598	0.0269792
635.733	0.0281389
635.868	0.0276506
636.003	0.028322
636.138	0.0268571
636.273	0.0273454
636.408	0.0271013
636.543	0.0275896
636.678	0.0277117
636.813	0.0277727
636.948	0.0271623
637.083	0.0277117
637.218	0.0278337
637.353	0.0276506
637.488	0.0277117
637.623	0.0278337
637.758	0.0277117
637.893	0.0275896
638.028	0.0274065
638.163	0.0278337
