Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0544088
617.773	0.052977
617.908	0.0536929
618.043	0.052977
618.178	0.0553633
618.313	0.0524997
618.448	0.0539315
618.583	0.0541701
618.718	0.0532156
618.853	0.0547667
618.988	0.0547667
619.123	0.0541701
619.258	0.0533349
619.394	0.0530963
619.529	0.0536929
619.664	0.0536929
619.799	0.0546474
619.934	0.0532156
620.069	0.0553633
620.204	0.0546474
620.339	0.055602
620.474	0.0548861
620.609	0.0559599
620.744	0.0522611
620.879	0.0545281
621.014	0.0540508
621.149	0.0538122
621.284	0.0523804
621.419	0.0547667
621.554	0.0533349
621.689	0.0544088
621.825	0.0534542
621.96	0.0532156
622.095	0.0540508
622.23	0.0542895
622.365	0.0528577
622.5	0.0541701
622.635	0.0530963
622.77	0.0541701
622.905	0.0530963
623.04	0.0547667
623.175	0.0545281
623.31	0.0540508
623.445	0.0545281
623.58	0.0533349
623.715	0.0559599
623.85	0.0541701
623.985	0.0541701
624.12	0.0528577
624.255	0.0522611
624.39	0.0541701
624.525	0.0547667
624.661	0.0547667
624.796	0.0541701
624.931	0.0528577
625.066	0.0557213
625.201	0.0545281
625.336	0.0532156
625.471	0.0534542
625.606	0.0536929
625.741	0.0536929
625.876	0.0533349
626.011	0.0538122
626.146	0.0533349
626.281	0.0553633
626.416	0.0539315
626.551	0.0550054
626.686	0.0541701
626.821	0.0536929
626.956	0.0548861
627.091	0.0530963
627.226	0.0535736
627.361	0.055602
627.496	0.052977
627.631	0.0553633
627.766	0.0539315
627.901	0.0534542
628.036	0.0546474
628.171	0.0528577
628.307	0.0545281
628.442	0.0538122
628.577	0.0536929
628.712	0.0527383
628.847	0.0534542
628.982	0.0520224
629.117	0.0516645
629.252	0.0527383
629.387	0.0527383
629.522	0.0551247
629.657	0.0532156
629.792	0.0528577
629.927	0.0532156
630.062	0.0527383
630.197	0.052977
630.332	0.0533349
630.467	0.0548861
630.602	0.0545281
630.737	0.0535736
630.872	0.0524997
631.007	0.0540508
631.142	0.0561985
631.277	0.052619
631.412	0.0538122
631.547	0.0540508
631.682	0.0547667
631.817	0.0540508
631.952	0.0535736
632.087	0.0550054
632.222	0.0546474
632.357	0.052619
632.492	0.052977
632.627	0.0534542
632.762	0.0532156
632.897	0.0551247
633.032	0.0516645
633.167	0.0540508
633.302	0.0535736
633.437	0.0536929
633.572	0.0540508
633.707	0.055602
633.842	0.0530963
633.978	0.0534542
634.113	0.0535736
634.248	0.0540508
634.383	0.0541701
634.518	0.0530963
634.653	0.0535736
634.788	0.0527383
634.923	0.0528577
635.058	0.0533349
635.193	0.0539315
635.328	0.0524997
635.463	0.0532156
635.598	0.0533349
635.733	0.0544088
635.868	0.0557213
636.003	0.0536929
636.138	0.0536929
636.273	0.0530963
636.408	0.0539315
636.543	0.0530963
636.678	0.0536929
636.813	0.052977
636.948	0.0535736
637.083	0.0539315
637.218	0.0559599
637.353	0.0534542
637.488	0.0527383
637.623	0.0538122
637.758	0.0540508
637.893	0.0548861
638.028	0.0545281
638.163	0.0542895
638.298	0.0547667
638.433	0.0536929
638.568	0.0532156
638.703	0.0538122
638.838	0.0532156
638.973	0.0539315
639.108	0.0541701
639.243	0.0551247
639.378	0.0523804
639.513	0.0535736
639.648	0.0530963
639.783	0.0539315
639.918	0.0527383
640.053	0.0557213
640.188	0.0553633
640.323	0.0541701
640.458	0.0534542
640.593	0.0550054
640.728	0.0539315
640.863	0.0551247
640.998	0.0546474
641.133	0.0545281
641.268	0.0532156
641.403	0.0548861
641.538	0.0538122
641.673	0.0541701
641.808	0.0550054
641.943	0.0535736
642.078	0.0532156
642.213	0.0547667
642.348	0.0539315
642.483	0.0540508
642.618	0.0548861
642.753	0.0534542
642.888	0.0528577
643.023	0.0553633
643.158	0.0530963
643.293	0.0551247
643.428	0.0540508
643.563	0.0544088
643.698	0.0546474
643.833	0.0524997
643.968	0.0534542
644.103	0.0534542
644.237	0.0530963
644.372	0.0540508
644.507	0.0532156
644.642	0.0553633
644.777	0.0545281
644.912	0.0544088
645.047	0.0538122
645.182	0.0535736
645.317	0.0532156
645.452	0.052619
645.587	0.0542895
645.722	0.0530963
645.857	0.0557213
645.992	0.0532156
646.127	0.0540508
646.262	0.0534542
646.397	0.055244
646.532	0.0541701
646.667	0.0536929
646.802	0.0528577
646.937	0.0536929
647.072	0.0542895
647.207	0.0553633
647.342	0.0558406
647.477	0.0540508
647.612	0.0546474
647.747	0.0551247
647.882	0.0530963
648.017	0.052977
648.152	0.052619
648.287	0.0551247
648.422	0.0541701
648.557	0.0548861
648.692	0.0533349
648.827	0.0539315
648.962	0.0547667
649.097	0.0544088
649.232	0.0545281
649.367	0.0551247
649.502	0.0539315
649.637	0.0538122
649.772	0.0532156
649.906	0.052977
650.041	0.0539315
650.176	0.0546474
650.311	0.0545281
650.446	0.0535736
650.581	0.0539315
650.716	0.0540508
650.851	0.0551247
650.986	0.0546474
651.121	0.0535736
651.256	0.0550054
651.391	0.0536929
651.526	0.0527383
651.661	0.0542895
651.796	0.0517838
651.931	0.0553633
652.066	0.0544088
652.201	0.0544088
652.336	0.052619
652.471	0.0557213
652.606	0.0538122
652.741	0.0561985
652.876	0.0530963
653.011	0.0524997
653.146	0.0545281
653.281	0.0535736
653.415	0.0553633
653.55	0.0536929
653.685	0.0539315
653.82	0.0547667
653.955	0.0554826
654.09	0.0559599
654.225	0.0548861
654.36	0.0545281
654.495	0.0535736
654.63	0.0539315
654.765	0.0541701
654.9	0.0524997
655.035	0.0538122
655.17	0.052619
655.305	0.0551247
655.44	0.0516645
655.575	0.0547667
655.71	0.055602
655.845	0.0544088
655.98	0.0545281
656.115	0.0534542
656.25	0.0538122
656.384	0.0542895
656.519	0.0542895
656.654	0.0534542
656.789	0.0545281
656.924	0.0516645
657.059	0.0540508
657.194	0.0538122
657.329	0.0551247
657.464	0.0542895
657.599	0.0511872
657.734	0.0532156
657.869	0.055602
658.004	0.0533349
658.139	0.0565565
658.274	0.0544088
658.409	0.0546474
658.544	0.0528577
658.679	0.0554826
658.813	0.0539315
658.948	0.0536929
659.083	0.0538122
659.218	0.0539315
659.353	0.055244
659.488	0.0542895
659.623	0.0539315
659.758	0.0540508
659.893	0.052977
660.028	0.0541701
660.163	0.0539315
660.298	0.0538122
660.433	0.0544088
660.568	0.0532156
660.703	0.0547667
660.838	0.0533349
660.972	0.0538122
661.107	0.0542895
661.242	0.0548861
661.377	0.055244
661.512	0.0559599
661.647	0.0542895
661.782	0.0544088
661.917	0.0553633
662.052	0.0544088
662.187	0.0542895
662.322	0.055602
662.457	0.0548861
662.592	0.0528577
662.727	0.0544088
662.862	0.0536929
662.996	0.0536929
663.131	0.0550054
663.266	0.0541701
663.401	0.0533349
663.536	0.0558406
663.671	0.0532156
663.806	0.0536929
663.941	0.0536929
664.076	0.0532156
664.211	0.0541701
664.346	0.0550054
664.481	0.052977
664.616	0.0527383
664.75	0.0524997
664.885	0.0548861
665.02	0.0551247
665.155	0.0540508
665.29	0.0550054
665.425	0.055602
665.56	0.0548861
665.695	0.0547667
665.83	0.0542895
665.965	0.0546474
666.1	0.0515452
666.235	0.0536929
666.37	0.0524997
666.504	0.0550054
666.639	0.0545281
666.774	0.0530963
666.909	0.0542895
667.044	0.0524997
667.179	0.0542895
667.314	0.0550054
667.449	0.0538122
667.584	0.0522611
667.719	0.0539315
667.854	0.0535736
667.989	0.0547667
668.123	0.0557213
668.258	0.0528577
668.393	0.0557213
668.528	0.0528577
668.663	0.0530963
668.798	0.052977
668.933	0.0548861
669.068	0.055602
669.203	0.0545281
669.338	0.052977
669.473	0.0561985
669.607	0.0553633
669.742	0.0535736
669.877	0.0522611
670.012	0.0532156
670.147	0.0523804
670.282	0.0541701
670.417	0.0544088
670.552	0.0547667
670.687	0.0542895
670.822	0.0545281
670.957	0.0527383
671.091	0.0559599
671.226	0.0559599
671.361	0.0538122
671.496	0.0528577
671.631	0.0533349
671.766	0.0527383
671.901	0.0539315
672.036	0.0553633
672.171	0.0548861
672.306	0.0541701
672.44	0.0539315
672.575	0.052619
672.71	0.0533349
672.845	0.0533349
672.98	0.0536929
673.115	0.0536929
673.25	0.0534542
673.385	0.0538122
673.52	0.0536929
673.655	0.0541701
673.789	0.0530963
673.924	0.0548861
674.059	0.0550054
674.194	0.0534542
674.329	0.0524997
674.464	0.0554826
674.599	0.0538122
674.734	0.0546474
674.869	0.0544088
675.003	0.0534542
675.138	0.0559599
675.273	0.0545281
675.408	0.0541701
