Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0405443
617.773	0.0418314
617.908	0.0417395
618.043	0.0420153
618.178	0.0417395
618.313	0.0427508
618.448	0.0408201
618.583	0.040912
618.718	0.0415556
618.853	0.0413717
618.988	0.0410959
619.123	0.0408201
619.258	0.0412798
619.394	0.0414636
619.529	0.0418314
619.664	0.0414636
619.799	0.0413717
619.934	0.0421072
620.069	0.0413717
620.204	0.0424749
620.339	0.0418314
620.474	0.0415556
620.609	0.0419233
620.744	0.0410959
620.879	0.0421072
621.014	0.0424749
621.149	0.0428427
621.284	0.0418314
621.419	0.0413717
621.554	0.0418314
621.689	0.0403604
621.825	0.0402685
621.96	0.0421072
622.095	0.0412798
622.23	0.0415556
622.365	0.0422911
622.5	0.0410959
622.635	0.0417395
622.77	0.0428427
622.905	0.0422911
623.04	0.0412798
623.175	0.0421991
623.31	0.0412798
623.445	0.0425669
623.58	0.0410959
623.715	0.0408201
623.85	0.0420153
623.985	0.0413717
624.12	0.0414636
624.255	0.0413717
624.39	0.0422911
624.525	0.0416475
624.661	0.0421072
624.796	0.0408201
624.931	0.0421991
625.066	0.0416475
625.201	0.0419233
625.336	0.0426588
625.471	0.0421072
625.606	0.041004
625.741	0.0411878
625.876	0.0418314
626.011	0.0421072
626.146	0.0417395
626.281	0.0415556
626.416	0.0408201
626.551	0.0414636
626.686	0.0431185
626.821	0.0426588
626.956	0.0427508
627.091	0.0420153
627.226	0.0405443
627.361	0.0424749
627.496	0.0420153
627.631	0.0414636
627.766	0.0421991
627.901	0.0419233
628.036	0.0421072
628.171	0.0415556
628.307	0.0413717
628.442	0.0421072
628.577	0.0408201
628.712	0.0418314
628.847	0.0414636
628.982	0.040912
629.117	0.0427508
629.252	0.0416475
629.387	0.0410959
629.522	0.0418314
629.657	0.0422911
629.792	0.0411878
629.927	0.0411878
630.062	0.0413717
630.197	0.0410959
630.332	0.0413717
630.467	0.0411878
630.602	0.040912
630.737	0.0398088
630.872	0.0406362
631.007	0.0406362
631.142	0.0417395
631.277	0.0411878
631.412	0.0424749
631.547	0.0415556
631.682	0.0421991
631.817	0.0414636
631.952	0.042383
632.087	0.0420153
632.222	0.042383
632.357	0.0410959
632.492	0.040912
632.627	0.0429346
632.762	0.0415556
632.897	0.0414636
633.032	0.0403604
633.167	0.0425669
633.302	0.040912
633.437	0.0401765
633.572	0.0407281
633.707	0.0411878
633.842	0.0424749
633.978	0.0429346
634.113	0.0405443
634.248	0.0426588
634.383	0.0432104
634.518	0.040912
634.653	0.0417395
634.788	0.0413717
634.923	0.0422911
635.058	0.0415556
635.193	0.0417395
635.328	0.0411878
635.463	0.0418314
635.598	0.0421072
635.733	0.0404523
635.868	0.0416475
636.003	0.0414636
636.138	0.0421991
636.273	0.0429346
636.408	0.040912
636.543	0.0410959
636.678	0.0411878
636.813	0.0419233
636.948	0.0421072
637.083	0.0432104
637.218	0.0422911
637.353	0.0408201
637.488	0.0402685
637.623	0.040912
637.758	0.0422911
637.893	0.0403604
638.028	0.0424749
638.163	0.0410959
638.298	0.0408201
638.433	0.0422911
638.568	0.0414636
638.703	0.0418314
638.838	0.0412798
638.973	0.0418314
639.108	0.0420153
639.243	0.0424749
639.378	0.0429346
639.513	0.0406362
639.648	0.0413717
639.783	0.040912
639.918	0.0421991
640.053	0.0432104
640.188	0.0419233
640.323	0.0422911
640.458	0.0403604
640.593	0.0415556
640.728	0.0408201
640.863	0.0411878
640.998	0.0418314
641.133	0.0413717
641.268	0.0421991
641.403	0.0421991
641.538	0.0412798
641.673	0.0419233
641.808	0.0411878
641.943	0.0416475
642.078	0.0420153
642.213	0.0418314
642.348	0.0420153
642.483	0.040912
642.618	0.0400846
642.753	0.040912
642.888	0.0418314
643.023	0.0424749
643.158	0.0420153
643.293	0.0421072
643.428	0.041004
643.563	0.0426588
643.698	0.040912
643.833	0.0414636
643.968	0.0421991
644.103	0.0411878
644.237	0.042383
644.372	0.0411878
644.507	0.0418314
644.642	0.0422911
644.777	0.0422911
644.912	0.0426588
645.047	0.0416475
645.182	0.0420153
645.317	0.0427508
645.452	0.0420153
645.587	0.0403604
645.722	0.0424749
645.857	0.0417395
645.992	0.0426588
646.127	0.041004
646.262	0.041004
646.397	0.0417395
646.532	0.0419233
646.667	0.0400846
646.802	0.0417395
646.937	0.0415556
647.072	0.0407281
647.207	0.0419233
647.342	0.0411878
647.477	0.0413717
647.612	0.0407281
647.747	0.0413717
647.882	0.0416475
648.017	0.0416475
648.152	0.0424749
648.287	0.0405443
648.422	0.0421991
648.557	0.0415556
648.692	0.0406362
648.827	0.0421072
648.962	0.0411878
649.097	0.0424749
649.232	0.0426588
649.367	0.0417395
649.502	0.0420153
649.637	0.0414636
649.772	0.0416475
649.906	0.0407281
650.041	0.0413717
650.176	0.0422911
650.311	0.0402685
650.446	0.0427508
650.581	0.0420153
650.716	0.0402685
650.851	0.0421072
650.986	0.0417395
651.121	0.0421991
651.256	0.0413717
651.391	0.0404523
651.526	0.041004
651.661	0.0418314
651.796	0.0405443
651.931	0.042383
652.066	0.041004
652.201	0.0428427
652.336	0.0413717
652.471	0.0413717
652.606	0.0421991
652.741	0.0421072
652.876	0.0410959
653.011	0.0407281
653.146	0.0413717
653.281	0.0415556
653.415	0.0432104
653.55	0.0415556
653.685	0.0418314
653.82	0.0419233
653.955	0.0421072
654.09	0.0428427
654.225	0.0431185
654.36	0.040912
654.495	0.0410959
654.63	0.0417395
654.765	0.040912
654.9	0.0412798
655.035	0.0404523
655.17	0.0422911
655.305	0.0405443
655.44	0.0417395
655.575	0.0405443
655.71	0.0416475
655.845	0.0418314
655.98	0.0417395
656.115	0.0414636
656.25	0.041004
656.384	0.0417395
656.519	0.0404523
656.654	0.0414636
656.789	0.0421991
656.924	0.0407281
657.059	0.0407281
657.194	0.0411878
657.329	0.040912
657.464	0.0420153
657.599	0.0416475
657.734	0.0422911
657.869	0.0419233
658.004	0.0412798
658.139	0.0416475
658.274	0.0413717
658.409	0.0406362
658.544	0.0419233
658.679	0.0419233
658.813	0.0419233
658.948	0.0405443
659.083	0.0406362
659.218	0.0422911
659.353	0.0421072
659.488	0.0425669
659.623	0.0410959
659.758	0.0431185
659.893	0.0418314
660.028	0.0421991
660.163	0.0417395
660.298	0.0417395
660.433	0.0418314
660.568	0.0416475
660.703	0.0418314
660.838	0.0421991
660.972	0.0421072
661.107	0.042383
661.242	0.040912
661.377	0.0416475
661.512	0.0413717
661.647	0.041004
661.782	0.0410959
661.917	0.0418314
662.052	0.0416475
662.187	0.0424749
662.322	0.0410959
662.457	0.0414636
662.592	0.041004
662.727	0.0410959
662.862	0.0417395
662.996	0.042383
663.131	0.0411878
663.266	0.042383
663.401	0.0413717
663.536	0.0421991
663.671	0.0402685
663.806	0.0414636
663.941	0.0410959
664.076	0.0415556
664.211	0.0419233
664.346	0.0412798
664.481	0.0422911
664.616	0.0421072
