Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0275896
617.773	0.0283831
617.908	0.0276506
618.043	0.0273454
618.178	0.0275896
618.313	0.0269181
618.448	0.0277727
618.583	0.0274065
618.718	0.0274675
618.853	0.0289324
618.988	0.0280779
619.123	0.0271623
619.258	0.0272233
619.394	0.0272233
619.529	0.0280779
619.664	0.0271623
619.799	0.0274065
619.934	0.0272844
620.069	0.0275896
620.204	0.0279558
620.339	0.0271623
620.474	0.028261
620.609	0.0278948
620.744	0.0277117
620.879	0.0271623
621.014	0.0275896
621.149	0.0278337
621.284	0.0272233
621.419	0.0275285
621.554	0.0279558
621.689	0.0277727
621.825	0.0278337
621.96	0.0281389
622.095	0.026674
622.23	0.0277117
622.365	0.0275285
622.5	0.0276506
622.635	0.0286883
622.77	0.0274675
622.905	0.0281389
623.04	0.0277117
623.175	0.0275285
623.31	0.0275896
623.445	0.0277117
623.58	0.0271623
623.715	0.0280168
623.85	0.0278337
623.985	0.0278948
624.12	0.0281389
624.255	0.0269181
624.39	0.0279558
624.525	0.0276506
624.661	0.0280168
624.796	0.0272844
624.931	0.0280168
625.066	0.0278948
625.201	0.026674
625.336	0.0278337
625.471	0.0275285
625.606	0.0278948
625.741	0.0277117
625.876	0.0275285
626.011	0.0279558
626.146	0.0277727
626.281	0.0283831
626.416	0.0273454
626.551	0.0285662
626.686	0.0280779
626.821	0.0274675
626.956	0.0280168
627.091	0.0272844
627.226	0.0279558
627.361	0.0275285
627.496	0.0271623
627.631	0.0277117
627.766	0.0274675
627.901	0.0280779
628.036	0.0280168
628.171	0.0280779
628.307	0.0265519
628.442	0.0278948
628.577	0.0269792
628.712	0.0274675
628.847	0.0276506
628.982	0.0274675
629.117	0.0277727
629.252	0.0280168
629.387	0.0273454
629.522	0.0268571
629.657	0.0274675
629.792	0.0277727
629.927	0.0277117
630.062	0.0286883
630.197	0.0275896
630.332	0.0278337
630.467	0.0280168
630.602	0.0280168
630.737	0.0270402
630.872	0.0275896
631.007	0.0276506
631.142	0.0277117
631.277	0.0279558
631.412	0.0277727
631.547	0.0278337
631.682	0.0280168
631.817	0.0275896
631.952	0.0277727
632.087	0.0269181
632.222	0.0274675
632.357	0.0269792
632.492	0.0275896
632.627	0.0285662
632.762	0.028261
632.897	0.0288104
633.032	0.0274675
633.167	0.0278948
633.302	0.0288714
633.437	0.0275896
633.572	0.0272844
633.707	0.0269792
633.842	0.0280779
633.978	0.0278948
634.113	0.0273454
634.248	0.0280168
634.383	0.0274675
634.518	0.028261
634.653	0.0275285
634.788	0.0278337
634.923	0.0277727
635.058	0.0272844
635.193	0.0275896
635.328	0.028261
635.463	0.0278337
635.598	0.0275896
635.733	0.0272844
635.868	0.0276506
636.003	0.0278948
636.138	0.0262467
636.273	0.0285052
636.408	0.0275896
636.543	0.0284441
636.678	0.0282
636.813	0.0274675
636.948	0.0278337
637.083	0.0269792
637.218	0.0280779
637.353	0.0278948
637.488	0.0279558
637.623	0.028322
637.758	0.026674
637.893	0.026613
638.028	0.0275285
638.163	0.0277727
638.298	0.0271623
638.433	0.0281389
638.568	0.0277117
638.703	0.0285662
638.838	0.0274675
638.973	0.0278337
639.108	0.0275285
639.243	0.0269792
639.378	0.0277117
639.513	0.028322
639.648	0.0280779
639.783	0.0281389
639.918	0.0273454
640.053	0.0280168
640.188	0.0277117
640.323	0.0272844
640.458	0.0272233
640.593	0.0277117
640.728	0.026613
640.863	0.0274675
640.998	0.0275896
641.133	0.0271623
641.268	0.0282
641.403	0.0277117
641.538	0.0272233
641.673	0.0274675
641.808	0.0276506
641.943	0.0277117
642.078	0.0273454
642.213	0.0277117
642.348	0.0282
642.483	0.0267961
642.618	0.0265519
642.753	0.0274065
642.888	0.0271623
643.023	0.0283831
643.158	0.0271013
643.293	0.0282
643.428	0.0271623
643.563	0.0271623
643.698	0.0278337
643.833	0.0278948
643.968	0.0272233
644.103	0.0275285
644.237	0.0275285
644.372	0.0274065
644.507	0.0269792
644.642	0.0282
644.777	0.0273454
644.912	0.0276506
645.047	0.0284441
645.182	0.0272844
645.317	0.0269181
645.452	0.0280168
645.587	0.0280168
645.722	0.0276506
645.857	0.0275896
645.992	0.0276506
646.127	0.0272233
646.262	0.0278948
646.397	0.0275285
646.532	0.026674
646.667	0.0281389
646.802	0.0281389
646.937	0.0277117
647.072	0.0277727
647.207	0.0271013
647.342	0.028261
647.477	0.0278948
647.612	0.0277727
647.747	0.0278948
647.882	0.0283831
648.017	0.0278337
648.152	0.0277117
648.287	0.0271013
648.422	0.0280779
648.557	0.0265519
648.692	0.0277727
648.827	0.0275285
648.962	0.0277727
649.097	0.0272233
649.232	0.0276506
649.367	0.0274065
649.502	0.0280779
649.637	0.0267961
649.772	0.0271623
649.906	0.0269792
650.041	0.0271013
650.176	0.0280779
650.311	0.0277117
650.446	0.0275285
650.581	0.0280779
650.716	0.0270402
650.851	0.0275896
650.986	0.0284441
651.121	0.0278337
651.256	0.0271623
651.391	0.0270402
651.526	0.0277727
651.661	0.0278337
651.796	0.028261
651.931	0.0274675
652.066	0.0278337
652.201	0.0277727
652.336	0.0275285
652.471	0.0282
652.606	0.0275896
652.741	0.0277117
652.876	0.0279558
653.011	0.0280168
653.146	0.0278337
653.281	0.0269181
653.415	0.0268571
653.55	0.0269181
653.685	0.0279558
653.82	0.0281389
653.955	0.0276506
654.09	0.0279558
654.225	0.0274065
654.36	0.0281389
654.495	0.0280779
654.63	0.0277117
654.765	0.0278337
654.9	0.0274675
655.035	0.0272844
655.17	0.0276506
655.305	0.0270402
655.44	0.0280168
655.575	0.028322
655.71	0.0278337
655.845	0.0277727
655.98	0.028322
656.115	0.028261
656.25	0.0277117
656.384	0.0269181
656.519	0.0275285
656.654	0.0280779
656.789	0.0281389
656.924	0.0274675
657.059	0.0269792
657.194	0.0272233
657.329	0.0278337
657.464	0.0267961
