Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0280779
617.773	0.0273454
617.908	0.0277117
618.043	0.028322
618.178	0.0269181
618.313	0.0272233
618.448	0.0272233
618.583	0.0271623
618.718	0.0278337
618.853	0.0282
618.988	0.0274675
619.123	0.0275285
619.258	0.0267961
619.394	0.0282
619.529	0.0278337
619.664	0.0274675
619.799	0.0283831
619.934	0.0279558
620.069	0.0276506
620.204	0.0272233
620.339	0.0277727
620.474	0.0274065
620.609	0.0274065
620.744	0.0278948
620.879	0.0278337
621.014	0.0271013
621.149	0.0272844
621.284	0.026674
621.419	0.0275896
621.554	0.0270402
621.689	0.0274675
621.825	0.0283831
621.96	0.0278337
622.095	0.0280168
622.23	0.0275896
622.365	0.0272844
622.5	0.0275896
622.635	0.0271013
622.77	0.0275285
622.905	0.0280779
623.04	0.0268571
623.175	0.0274675
623.31	0.0264298
623.445	0.0272233
623.58	0.0272233
623.715	0.0278948
623.85	0.0281389
623.985	0.0278337
624.12	0.028322
624.255	0.0278948
624.39	0.0271623
624.525	0.0278948
624.661	0.0280779
624.796	0.0276506
624.931	0.0275285
625.066	0.0271623
625.201	0.0281389
625.336	0.0277117
625.471	0.0280779
625.606	0.0276506
625.741	0.0280779
625.876	0.0272233
626.011	0.0284441
626.146	0.0287493
626.281	0.0287493
626.416	0.0267961
626.551	0.0287493
626.686	0.0269792
626.821	0.0271013
626.956	0.0280168
627.091	0.0273454
627.226	0.0267961
627.361	0.0269792
627.496	0.0280779
627.631	0.0274675
627.766	0.0277727
627.901	0.0274675
628.036	0.0275285
628.171	0.0283831
628.307	0.0280779
628.442	0.0272233
628.577	0.0274675
628.712	0.0280168
628.847	0.0272233
628.982	0.0275285
629.117	0.0275285
629.252	0.028322
629.387	0.0272844
629.522	0.0278337
629.657	0.026613
629.792	0.0277117
629.927	0.0273454
630.062	0.0274675
630.197	0.0277727
630.332	0.0275285
630.467	0.0270402
630.602	0.0280168
630.737	0.0275896
630.872	0.0269792
631.007	0.0278337
631.142	0.0277117
631.277	0.0269792
631.412	0.0280779
631.547	0.0281389
631.682	0.0271623
631.817	0.0276506
631.952	0.0271623
632.087	0.0275896
632.222	0.0277117
632.357	0.0274675
632.492	0.0281389
632.627	0.0278948
632.762	0.0289324
632.897	0.0278948
633.032	0.0278337
633.167	0.0267961
633.302	0.0279558
633.437	0.0278337
633.572	0.0286272
633.707	0.0282
633.842	0.0277727
633.978	0.0275285
634.113	0.0286883
634.248	0.0278948
634.383	0.0284441
634.518	0.0278948
634.653	0.0280168
634.788	0.0274065
634.923	0.0279558
635.058	0.0282
635.193	0.0286883
635.328	0.0280168
635.463	0.0278337
635.598	0.0283831
635.733	0.0278948
635.868	0.0279558
636.003	0.0285662
636.138	0.0274675
636.273	0.0276506
636.408	0.0273454
636.543	0.0273454
636.678	0.0275285
636.813	0.0281389
636.948	0.0284441
637.083	0.0263688
637.218	0.0273454
637.353	0.0288714
637.488	0.0271623
637.623	0.0270402
637.758	0.0274065
637.893	0.0274065
638.028	0.0272844
638.163	0.0280168
638.298	0.0274065
638.433	0.0275896
638.568	0.0280779
638.703	0.0279558
638.838	0.0280168
638.973	0.028261
639.108	0.0272844
639.243	0.0282
639.378	0.0275285
639.513	0.0277727
639.648	0.028261
639.783	0.0277727
639.918	0.0285052
640.053	0.0278337
640.188	0.0278337
640.323	0.026735
640.458	0.0280168
640.593	0.0284441
640.728	0.0285052
640.863	0.0274065
640.998	0.0269792
641.133	0.0275896
641.268	0.0270402
641.403	0.0280779
641.538	0.0276506
641.673	0.0272844
641.808	0.0272844
641.943	0.0276506
642.078	0.0281389
642.213	0.0283831
642.348	0.0275285
642.483	0.0279558
642.618	0.0282
642.753	0.0275285
642.888	0.0280168
643.023	0.0274065
643.158	0.0275285
643.293	0.0277727
643.428	0.028261
643.563	0.0272233
643.698	0.0281389
643.833	0.0277117
643.968	0.0283831
644.103	0.0275285
644.237	0.026735
644.372	0.0264909
644.507	0.0274675
644.642	0.026674
644.777	0.0276506
644.912	0.0279558
645.047	0.0269792
645.182	0.0275285
645.317	0.0273454
645.452	0.0274675
