Source: Spectrum Viewer

Chart: Pulse Spectrum

Series: 
Wavelength (nm)	S (a.u.)
617.638	0.0277727
617.773	0.0271623
617.908	0.0272233
618.043	0.0280168
618.178	0.0288714
618.313	0.028261
618.448	0.0270402
618.583	0.0270402
618.718	0.0278948
618.853	0.0279558
618.988	0.0269792
619.123	0.0277117
619.258	0.0275896
619.394	0.0278948
619.529	0.0279558
619.664	0.026674
619.799	0.0288714
619.934	0.0278337
620.069	0.0277727
620.204	0.0276506
620.339	0.0279558
620.474	0.0280168
620.609	0.0271013
620.744	0.0280779
620.879	0.0277727
621.014	0.0272233
621.149	0.026735
621.284	0.0278337
621.419	0.0284441
621.554	0.0282
621.689	0.0280168
621.825	0.0277727
621.96	0.0277727
622.095	0.0271623
622.23	0.0273454
622.365	0.0280779
622.5	0.0280779
622.635	0.0278948
622.77	0.0283831
622.905	0.0271623
623.04	0.0269792
623.175	0.0284441
623.31	0.0275896
623.445	0.0278337
623.58	0.0274675
623.715	0.0277117
623.85	0.0280168
623.985	0.0290545
624.12	0.0271623
624.255	0.0274065
624.39	0.0275896
624.525	0.0272233
624.661	0.0271623
624.796	0.0277727
624.931	0.0278337
625.066	0.0282
625.201	0.0275285
625.336	0.0279558
625.471	0.0274675
625.606	0.0282
625.741	0.0275285
625.876	0.0278337
626.011	0.0277727
626.146	0.0281389
626.281	0.0288104
626.416	0.026735
626.551	0.0270402
626.686	0.0270402
626.821	0.0278337
626.956	0.0272844
627.091	0.0276506
627.226	0.0284441
627.361	0.0271013
627.496	0.0269181
627.631	0.0267961
627.766	0.0276506
627.901	0.0280168
628.036	0.0278948
628.171	0.0275896
628.307	0.0275896
628.442	0.0277117
628.577	0.0278948
628.712	0.0274065
628.847	0.0278948
628.982	0.0275285
629.117	0.0276506
629.252	0.0277117
629.387	0.0271013
629.522	0.0274065
629.657	0.0272233
629.792	0.0275285
629.927	0.0286272
630.062	0.0279558
630.197	0.0276506
630.332	0.0279558
630.467	0.0273454
630.602	0.0276506
630.737	0.0272844
630.872	0.0275285
631.007	0.0275896
631.142	0.0278337
631.277	0.0268571
631.412	0.0269181
631.547	0.0280168
631.682	0.0280168
631.817	0.0274675
631.952	0.0275285
632.087	0.0272844
632.222	0.0274675
632.357	0.0275285
632.492	0.0287493
632.627	0.0277727
632.762	0.0278337
632.897	0.0268571
633.032	0.0278337
633.167	0.0272844
633.302	0.0278948
633.437	0.0274065
633.572	0.0277727
633.707	0.0272844
633.842	0.0277727
633.978	0.0271013
634.113	0.0276506
634.248	0.0271013
634.383	0.0273454
634.518	0.0277117
634.653	0.0274675
634.788	0.0273454
634.923	0.0275896
635.058	0.0271623
635.193	0.0278337
635.328	0.0284441
635.463	0.0280168
635.598	0.0276506
635.733	0.0278337
635.868	0.0294207
636.003	0.0278948
636.138	0.0279558
636.273	0.0276506
636.408	0.0279558
636.543	0.0272844
636.678	0.0271013
636.813	0.0275896
636.948	0.0268571
637.083	0.0271623
637.218	0.0265519
637.353	0.0278337
637.488	0.0286272
637.623	0.0279558
637.758	0.0277117
637.893	0.0273454
638.028	0.0274065
638.163	0.0277117
638.298	0.0269181
638.433	0.0278337
638.568	0.0274675
638.703	0.0273454
638.838	0.0274065
638.973	0.0282
639.108	0.0271623
639.243	0.0272844
639.378	0.0270402
639.513	0.0272844
639.648	0.028261
639.783	0.0278337
639.918	0.0279558
